HGNC Symbol,Transcript stable ID,Protein stable ID,RefSeq mRNA ID,RefSeq peptide ID,Protein length,canonical_isoform
H2AC20,ENST00000331380,ENSP00000332194,NM_003517,NP_003508,129,canonical_H2A_isoform_4
H2AC21,ENST00000331128,ENSP00000332790,NM_175065,NP_778235,130,canonical_H2A_isoform_5
H2AJ,ENST00000544848,ENSP00000438553,NM_177925,NP_808760,129,
H2AX,ENST00000530167,ENSP00000434024,NM_002105,NP_002096,143,
H2AZ1,ENST00000296417,ENSP00000296417,NM_002106,NP_002097,128,
H2AZ2,ENST00000222690,ENSP00000222690,NM_138635,NP_619541,114,
H2AZ2,ENST00000349299,ENSP00000342714,NM_201517,NP_958925,90,
H2AZ2,ENST00000308153,ENSP00000308405,NM_012412,NP_036544,128,
H2AZ2,ENST00000350771,ENSP00000340708,NM_201436,NP_958844,102,
H2AZ2,ENST00000381124,ENSP00000370516,NM_201516,NP_958924,66,
MACROH2A1,ENST00000511689,ENSP00000423563,NM_138610,NP_613258,372,
MACROH2A1,ENST00000304332,ENSP00000302572,NM_004893,NP_004884,371,
MACROH2A1,ENST00000304332,ENSP00000302572,NM_001040158,NP_004884,371,
MACROH2A1,ENST00000304332,ENSP00000302572,NM_004893,NP_001035248,371,
MACROH2A1,ENST00000304332,ENSP00000302572,NM_001040158,NP_001035248,371,
MACROH2A1,ENST00000312469,ENSP00000310169,NM_138609,NP_613075,369,
MACROH2A2,ENST00000373255,ENSP00000362352,NM_018649,NP_061119,372,
H2AB1,ENST00000620016,ENSP00000484261,NM_001017990,NP_001017990,115,
H2AB2,ENST00000354514,ENSP00000346509,NM_001017991,NP_001017991,115,
H2AB3,ENST00000615853,ENSP00000482564,NM_080720,NP_542451,115,
H2AP,ENST00000341016,ENSP00000339511,NM_012274,NP_036406,117,
H2BC1,ENST00000274764,ENSP00000274764,NM_170610,NP_733759,127,
H2BC3,ENST00000615966,ENSP00000482674,NM_021062,NP_066406,126,canonical_H2B_isoform_6
H2BC4,ENST00000396984,ENSP00000380180,NM_003526,NP_003517,126,canonical_H2B_isoform_1
H2BC5,ENST00000377777,ENSP00000367008,NM_021063,NP_066407,126,canonical_H2B_isoform_3
H2BC5,ENST00000289316,ENSP00000289316,NM_138720,NP_619790,126,canonical_H2B_isoform_3
H2BC6,ENST00000614097,ENSP00000483237,NM_003523,NP_003514,126,canonical_H2B_isoform_1
H2BC7,ENST00000356530,ENSP00000348924,NM_003522,NP_003513,126,canonical_H2B_isoform_1
H2BC8,ENST00000377733,ENSP00000366962,NM_003525,NP_003516,126,canonical_H2B_isoform_1
H2BC9,ENST00000619466,ENSP00000479169,NM_003524,NP_003515,126,canonical_H2B_isoform_12
H2BC10,ENST00000541790,ENSP00000445633,NM_003518,NP_003509,126,canonical_H2B_isoform_1
H2BC11,ENST00000339812,ENSP00000342886,NM_021058,NP_066402,126,canonical_H2B_isoform_5
H2BC12,ENST00000356950,ENSP00000349430,NM_080593,NP_542160,126,canonical_H2B_isoform_2
H2BC12,ENST00000356950,ENSP00000349430,NM_001312653,NP_542160,126,canonical_H2B_isoform_2
H2BC12,ENST00000356950,ENSP00000349430,NM_080593,NP_001299582,126,canonical_H2B_isoform_2
H2BC12,ENST00000356950,ENSP00000349430,NM_001312653,NP_001299582,126,canonical_H2B_isoform_2
H2BC13,ENST00000377401,ENSP00000366618,NM_003519,NP_003510,126,canonical_H2B_isoform_11
H2BC14,ENST00000621112,ENSP00000477907,NM_003521,NP_003512,126,canonical_H2B_isoform_8
H2BC15,ENST00000612898,ENSP00000483903,NM_003520,NP_003511,126,canonical_H2B_isoform_13
H2BC17,ENST00000616182,ENSP00000477527,NM_003527,NP_003518,126,canonical_H2B_isoform_10
H2BC18,ENST00000369167,ENSP00000358164,NM_001024599,NP_001019770,126,canonical_H2B_isoform_7
H2BC18,ENST00000545683,ENSP00000445831,NM_001161334,NP_001154806,134,canonical_H2B_isoform_4
H2BC21,ENST00000369155,ENSP00000358151,NM_003528,NP_003519,126,
H3C2,ENST00000621411,ENSP00000484841,NM_003537,NP_003528,136,canonical_H3.1_isoform_1
H3C3,ENST00000612966,ENSP00000484658,NM_003531,NP_003522,136,canonical_H3.1_isoform_1
H3C4,ENST00000356476,ENSP00000366999,NM_003530,NP_003521,136,canonical_H3.1_isoform_1
H3C6,ENST00000614911,ENSP00000482271,NM_003532,NP_003523,136,canonical_H3.1_isoform_1
H3C7,ENST00000618052,ENSP00000484095,NM_021018,NP_066298,136,canonical_H3.1_isoform_1
H3C8,ENST00000614378,ENSP00000484638,NM_003534,NP_003525,136,canonical_H3.1_isoform_1
H3C10,ENST00000369163,ENSP00000358160,NM_003536,NP_003527,136,canonical_H3.1_isoform_1
H3C11,ENST00000616365,ENSP00000483283,NM_003533,NP_003524,136,canonical_H3.1_isoform_1
H3C12,ENST00000359303,ENSP00000352252,NM_003535,NP_003526,136,canonical_H3.1_isoform_1
H3C13,ENST00000331491,ENSP00000333277,NM_001123375,NP_001116847,136,canonical_H3.2_isoform_1
H3C14,ENST00000369158,ENSP00000358154,NM_021059,NP_066403,136,canonical_H3.2_isoform_1
H3C15,ENST00000403683,ENSP00000385479,NM_001005464,NP_001005464,136,canonical_H3.2_isoform_1
H3-2,ENST00000609879,ENSP00000499501,NM_001355409,NP_001342338,136,
H3-3A,ENST00000366815,ENSP00000355780,NM_002107,NP_002098,136,
H3-3B,ENST00000254810,ENSP00000254810,NM_005324,NP_005315,136,
H3-5,ENST00000340398,ENSP00000339835,NM_001013699,NP_001013721,135,
CENPA,ENST00000335756,ENSP00000336868,NM_001809,NP_001800,140,
CENPA,ENST00000233505,ENSP00000233505,NM_001042426,NP_001035891,114,
H4C1,ENST00000617569,ENSP00000479106,NM_003538,NP_003529,103,canonical_H4_isoform_1
H4C2,ENST00000377745,ENSP00000366974,NM_003544,NP_003535,103,canonical_H4_isoform_1
H4C3,ENST00000377803,ENSP00000367034,NM_003542,NP_003533,103,canonical_H4_isoform_1
H4C4,ENST00000614247,ENSP00000479461,NM_003539,NP_003530,103,canonical_H4_isoform_1
H4C5,ENST00000615164,ENSP00000484789,NM_003545,NP_003536,103,canonical_H4_isoform_1
H4C6,ENST00000244537,ENSP00000244537,NM_003540,NP_003531,103,canonical_H4_isoform_1
H4C7,ENST00000611444,ENSP00000477870,NM_003547,NP_003538,98,canonical_H4_isoform_2
H4C8,ENST00000377727,ENSP00000366956,NM_003543,NP_003534,103,canonical_H4_isoform_1
H4C9,ENST00000615353,ENSP00000481486,NM_003495,NP_003486,103,canonical_H4_isoform_1
H4C11,ENST00000355057,ENSP00000347168,NM_021968,NP_068803,103,canonical_H4_isoform_1
H4C12,ENST00000611927,ENSP00000479794,NM_003541,NP_003532,103,canonical_H4_isoform_1
H4C13,ENST00000618305,ENSP00000480960,NM_003546,NP_003537,103,canonical_H4_isoform_1
H4C14,ENST00000578186,ENSP00000462667,NM_003548,NP_003539,103,canonical_H4_isoform_1
H4C15,ENST00000579512,ENSP00000462355,NM_001034077,NP_001029249,103,canonical_H4_isoform_1
H4-16,ENST00000539745,ENSP00000443017,NM_175054,NP_778224,103,canonical_H4_isoform_1
