"accession","type","variant","isoform","protein_len","taxonomy id","organism","vgnc_id","hgnc_gene_name","ensembl_gene_id"
"XP_038302609.1","H2A","clustered H2A","isoform_10","119.0","9615","Dog","VGNC:83727","","ENSCAFG00000047415"
"XP_013965973.1","H2A","clustered H2A","isoform_11","119.0","9615","Dog","VGNC:83727","","ENSCAFG00000047415"
"XP_038440417.1","H2A","clustered H2A","isoform_12","119.0","9615","Dog","VGNC:83727","","ENSCAFG00000047415"
"XP_038302550.1","H2A","clustered H2A","isoform_9","130.0","9615","Dog","VGNC:83730","","ENSCAFG00000028830"
"XP_013965994.3","H2A","clustered H2A","isoform_9","130.0","9615","Dog","VGNC:83730","","ENSCAFG00000028830"
"XP_038440362.1","H2A","clustered H2A","isoform_9","130.0","9615","Dog","VGNC:83730","","ENSCAFG00000028830"
"XP_850808.1","H2A","clustered H2A","isoform_16","130.0","9615","Dog","VGNC:83737","","ENSCAFG00000043458"
"XP_540286.2","H2A","clustered H2A","isoform_16","130.0","9615","Dog","VGNC:83704","",""
"XP_545376.3","H2A","clustered H2A","isoform_20","161.0","9615","Dog","VGNC:83713","","ENSCAFG00000044672"
"XP_038278937.1","H2A","clustered H2A","isoform_17","129.0","9615","Dog","VGNC:83751","","ENSCAFG00000011574"
"XP_003639664.1","H2A","clustered H2A","isoform_17","129.0","9615","Dog","VGNC:83751","","ENSCAFG00000011574"
"XP_038418002.1","H2A","clustered H2A","isoform_17","129.0","9615","Dog","VGNC:83751","","ENSCAFG00000011574"
"XP_038278936.1","H2A","clustered H2A","isoform_18","130.0","9615","Dog","VGNC:83750","",""
"XP_003639665.1","H2A","clustered H2A","isoform_18","130.0","9615","Dog","VGNC:83750","",""
"XP_038418001.1","H2A","clustered H2A","isoform_18","130.0","9615","Dog","VGNC:83750","",""
"XP_038541965.1","H2A","clustered H2A","isoform_19","130.0","9615","Dog","VGNC:83700","","ENSCAFG00000024329"
"XP_005628406.1","H2A","clustered H2A","isoform_19","130.0","9615","Dog","VGNC:83700","","ENSCAFG00000024329"
"XP_038412336.1","H2A","clustered H2A","isoform_19","130.0","9615","Dog","VGNC:83700","","ENSCAFG00000024329"
"XP_038302477.1","H2A","clustered H2A","isoform_4","130.0","9615","Dog","VGNC:83766","",""
"XP_022270159.1","H2A","clustered H2A","isoform_4","130.0","9615","Dog","VGNC:83766","",""
"XP_038440277.1","H2A","clustered H2A","isoform_4","130.0","9615","Dog","VGNC:83766","",""
"XP_038302476.1","H2A","clustered H2A","isoform_9","130.0","9615","Dog","VGNC:83715","","ENSCAFG00000031754"
"XP_013966034.1","H2A","clustered H2A","isoform_9","130.0","9615","Dog","VGNC:83715","","ENSCAFG00000031754"
"XP_038440276.1","H2A","clustered H2A","isoform_9","130.0","9615","Dog","VGNC:83715","","ENSCAFG00000031754"
"XP_038302475.1","H2A","clustered H2A","isoform_5","130.0","9615","Dog","VGNC:83720","","ENSCAFG00000031860"
"XP_005640150.1","H2A","clustered H2A","isoform_5","130.0","9615","Dog","VGNC:83720","","ENSCAFG00000031860"
"XP_038440275.1","H2A","clustered H2A","isoform_5","130.0","9615","Dog","VGNC:83720","","ENSCAFG00000031860"
"XP_013966033.1","H2A","clustered H2A","isoform_9","130.0","9615","Dog","VGNC:95372","","ENSCAFG00000043442"
"XP_038302474.1","H2A","clustered H2A","isoform_3","133.0","9615","Dog","VGNC:83758","",""
"XP_003640210.2","H2A","clustered H2A","isoform_9","130.0","9615","Dog","VGNC:83758","",""
