accession,type,variant,isoform,protein_len,taxonomy id,organism,vgnc_id,hgnc_id,ncbi_id,ensembl_gene_id,species_name,order
XP_015315478.1,H2A,clustered H2A,isoform_1,181,9913,Cattle,VGNC:83545,,787441,ENSBTAG00000046992,Bos taurus,Artiodactyla
XP_002697551.1,H2A,clustered H2A,isoform_5,130,9913,Cattle,VGNC:83576,,618824,ENSBTAG00000052895,Bos taurus,Artiodactyla
XP_059736715.1,H2A,clustered H2A,isoform_5,130,9913,Cattle,VGNC:83577,,616611,ENSBTAG00000048599,Bos taurus,Artiodactyla
XP_010816805.1,H2A,clustered H2A,isoform_7,128,9913,Cattle,VGNC:83580,,616634,ENSBTAG00000054548,Bos taurus,Artiodactyla
XP_010816748.1,H2A,clustered H2A,isoform_6,128,9913,Cattle,VGNC:109559,,783767,ENSBTAG00000046373,Bos taurus,Artiodactyla
NP_001092190.1,H2A,clustered H2A,isoform_5,130,9913,Cattle,VGNC:83584,,616790,ENSBTAG00000051969,Bos taurus,Artiodactyla
XP_003587761.1,H2A,clustered H2A,isoform_8,130,9913,Cattle,VGNC:83586,,614970,ENSBTAG00000053621,Bos taurus,Artiodactyla
XP_005223785.1,H2A,clustered H2A,isoform_5,130,9913,Cattle,VGNC:83590,,529277,,Bos taurus,Artiodactyla
XP_010816763.1,H2A,clustered H2A,isoform_5,130,9913,Cattle,VGNC:109562,,104968446,,Bos taurus,Artiodactyla
XP_002686102.1,H2A,clustered H2A,isoform_9,130,9913,Cattle,VGNC:83599,,541108,ENSBTAG00000038476,Bos taurus,Artiodactyla
XP_002686100.1,H2A,clustered H2A,isoform_9,130,9913,Cattle,VGNC:83602,,100297758,ENSBTAG00000046003,Bos taurus,Artiodactyla
NP_001075189.1,H2A,clustered H2A,isoform_10,129,9913,Cattle,VGNC:83605,,513666,ENSBTAG00000040098,Bos taurus,Artiodactyla
XP_002686098.1,H2A,clustered H2A,isoform_11,130,9913,Cattle,VGNC:83604,,614974,ENSBTAG00000032456,Bos taurus,Artiodactyla
NP_001091566.1,H2A,clustered H2A,isoform_12,130,9913,Cattle,VGNC:83612,,538911,ENSBTAG00000037964,Bos taurus,Artiodactyla
XP_010816817.1,H2A,clustered H2A,isoform_2,130,9913,Cattle,VGNC:83550,,104975684,ENSBTAG00000050614,Bos taurus,Artiodactyla
NP_001192525.1,H2A,clustered H2A,isoform_4,130,9913,Cattle,VGNC:83561,,506900,ENSBTAG00000039657,Bos taurus,Artiodactyla
NP_001341951.1,H2A,clustered H2A,isoform_4,130,9913,Cattle,VGNC:83561,,506900,ENSBTAG00000039657,Bos taurus,Artiodactyla
XP_010816815.1,H2A,clustered H2A,isoform_5,130,9913,Cattle,VGNC:83565,,104975683,ENSBTAG00000053792,Bos taurus,Artiodactyla
XP_015315464.1,H2A,clustered H2A,isoform_3,130,9913,Cattle,VGNC:83570,,524808,ENSBTAG00000048743,Bos taurus,Artiodactyla
NP_001071557.1,H2A,H2A.J,,129,9913,Cattle,VGNC:83623,,618489,ENSBTAG00000030503,Bos taurus,Artiodactyla
NP_001071426.1,H2A,H2A.L,,117,9913,Cattle,VGNC:109560,,523631,ENSBTAG00000049451,Bos taurus,Artiodactyla
XP_003588236.1,H2A,H2A.L,,117,9913,Cattle,VGNC:109561,,617633,ENSBTAG00000052113,Bos taurus,Artiodactyla
NP_001073248.1,H2A,H2A.X,,143,9913,Cattle,VGNC:83617,,531733,ENSBTAG00000038047,Bos taurus,Artiodactyla
NP_777234.1,H2A,H2A.Z.1,,128,9913,Cattle,VGNC:83610,,287016,ENSBTAG00000004428,Bos taurus,Artiodactyla
NP_001033286.1,H2A,H2A.Z.2,,128,9913,Cattle,VGNC:83607,,613618,ENSBTAG00000016975,Bos taurus,Artiodactyla
XP_024850110.1,H2A,macroH2A.1,,339,9913,Cattle,VGNC:83608,,532990,ENSBTAG00000016105,Bos taurus,Artiodactyla
XP_024850109.1,H2A,macroH2A.1,,371,9913,Cattle,VGNC:83608,,532990,ENSBTAG00000016105,Bos taurus,Artiodactyla
XP_005209436.1,H2A,macroH2A.1,,368,9913,Cattle,VGNC:83608,,532990,ENSBTAG00000016105,Bos taurus,Artiodactyla
XP_005209435.1,H2A,macroH2A.1,,369,9913,Cattle,VGNC:83608,,532990,ENSBTAG00000016105,Bos taurus,Artiodactyla
XP_005209434.1,H2A,macroH2A.1,,372,9913,Cattle,VGNC:83608,,532990,ENSBTAG00000016105,Bos taurus,Artiodactyla
XP_005209433.1,H2A,macroH2A.1,,372,9913,Cattle,VGNC:83608,,532990,ENSBTAG00000016105,Bos taurus,Artiodactyla
NP_001039805.1,H2A,macroH2A.1,,371,9913,Cattle,VGNC:83608,,532990,ENSBTAG00000016105,Bos taurus,Artiodactyla
NP_001069554.1,H2A,macroH2A.2,,372,9913,Cattle,VGNC:55987,,537167,ENSBTAG00000001163,Bos taurus,Artiodactyla
XP_003317840.1,H2A,H2A.B,,115,9598,Chimpanzee,VGNC:83689,,107971249.0,,Pan troglodytes,Primates
XP_016800128.1,H2A,H2A.B,,115,9598,Chimpanzee,VGNC:83688,,107971253.0,,Pan troglodytes,Primates
XP_024208943.1,H2A,H2A.B,,115,9598,Chimpanzee,VGNC:83690,,112206877.0,,Pan troglodytes,Primates
XP_518282.1,H2A,clustered H2A,isoform_1,131,9598,Chimpanzee,VGNC:14358,,462486.0,ENSPTRG00000017789,Pan troglodytes,Primates
XP_527265.2,H2A,clustered H2A,isoform_5,115,9598,Chimpanzee,VGNC:83647,,471887.0,,Pan troglodytes,Primates
XP_063668326.1,H2A,clustered H2A,isoform_6,130,9598,Chimpanzee,VGNC:83651,,471894.0,,Pan troglodytes,Primates
XP_063668327.1,H2A,clustered H2A,isoform_8,128,9598,Chimpanzee,VGNC:83655,,471895.0,,Pan troglodytes,Primates
XP_054542623.1,H2A,clustered H2A,isoform_6,130,9598,Chimpanzee,VGNC:83654,,462506.0,,Pan troglodytes,Primates
XP_001138786.1,H2A,clustered H2A,isoform_9,128,9598,Chimpanzee,VGNC:83658,,737087.0,ENSPTRG00000045889,Pan troglodytes,Primates
XP_054542624.1,H2A,clustered H2A,isoform_7,130,9598,Chimpanzee,VGNC:83660,,736529.0,,Pan troglodytes,Primates
XP_527283.2,H2A,clustered H2A,isoform_6,130,9598,Chimpanzee,VGNC:83664,,471905.0,,Pan troglodytes,Primates
XP_016810562.1,H2A,clustered H2A,isoform_6,130,9598,Chimpanzee,VGNC:83669,,471909.0,,Pan troglodytes,Primates
XP_003949577.1,H2A,clustered H2A,isoform_10,130,9598,Chimpanzee,VGNC:83676,,746468.0,,Pan troglodytes,Primates
XP_016800323.1,H2A,clustered H2A,isoform_10,130,9598,Chimpanzee,VGNC:83679,,107971372.0,ENSPTRG00000046303,Pan troglodytes,Primates
XP_063653701.1,H2A,clustered H2A,isoform_11,129,9598,Chimpanzee,VGNC:14365,,457261.0,ENSPTRG00000030411,Pan troglodytes,Primates
XP_001166488.1,H2A,clustered H2A,isoform_12,130,9598,Chimpanzee,VGNC:14364,,746557.0,ENSPTRG00000047219,Pan troglodytes,Primates
XP_016796001.1,H2A,clustered H2A,isoform_13,130,9598,Chimpanzee,VGNC:83685,,469700.0,ENSPTRG00000047640,Pan troglodytes,Primates
XP_063668246.1,H2A,clustered H2A,isoform_2,130,9598,Chimpanzee,VGNC:83628,,748495.0,,Pan troglodytes,Primates
XP_003311096.1,H2A,clustered H2A,isoform_3,130,9598,Chimpanzee,VGNC:83635,,462490.0,ENSPTRG00000043682,Pan troglodytes,Primates
XP_003311095.1,H2A,clustered H2A,isoform_3,130,9598,Chimpanzee,VGNC:83635,,462490.0,ENSPTRG00000043682,Pan troglodytes,Primates
XP_003950795.1,H2A,clustered H2A,isoform_4,130,9598,Chimpanzee,VGNC:83640,,462493.0,,Pan troglodytes,Primates
XP_063668245.1,H2A,clustered H2A,isoform_2,130,9598,Chimpanzee,VGNC:14372,,471884.0,ENSPTRG00000045582,Pan troglodytes,Primates
NP_001361488.1,H2A,H2A.J,,129,9598,Chimpanzee,VGNC:52069,,465306.0,ENSPTRG00000004723,Pan troglodytes,Primates
XP_016798178.2,H2A,H2A.L,,204,9598,Chimpanzee,VGNC:109586,,107970947.0,,Pan troglodytes,Primates
XP_003317470.2,H2A,H2A.P,,117,9598,Chimpanzee,VGNC:1369,,738500.0,ENSPTRG00000021794,Pan troglodytes,Primates
XP_016777617.1,H2A,H2A.X,,143,9598,Chimpanzee,VGNC:12576,,104001345.0,ENSPTRG00000004369,Pan troglodytes,Primates
XP_517363.3,H2A,H2A.Z.1,,128,9598,Chimpanzee,VGNC:83681,,461400.0,ENSPTRG00000016312,Pan troglodytes,Primates
XP_016800800.1,H2A,H2A.Z.2,,66,9598,Chimpanzee,VGNC:14019,,453664.0,ENSPTRG00000019153,Pan troglodytes,Primates
XP_016800799.1,H2A,H2A.Z.2,,90,9598,Chimpanzee,VGNC:14019,,453664.0,ENSPTRG00000019153,Pan troglodytes,Primates
XP_016800798.1,H2A,H2A.Z.2,,102,9598,Chimpanzee,VGNC:14019,,453664.0,ENSPTRG00000019153,Pan troglodytes,Primates
XP_016800797.1,H2A,H2A.Z.2,,114,9598,Chimpanzee,VGNC:14019,,453664.0,ENSPTRG00000019153,Pan troglodytes,Primates
XP_016800796.1,H2A,H2A.Z.2,,128,9598,Chimpanzee,VGNC:14019,,453664.0,ENSPTRG00000019153,Pan troglodytes,Primates
NP_001229351.1,H2A,macroH2A.1,,372,9598,Chimpanzee,VGNC:4025,,462076.0,ENSPTRG00000017256,Pan troglodytes,Primates
XP_063666194.1,H2A,macroH2A.1,,357,9598,Chimpanzee,VGNC:4025,,462076.0,ENSPTRG00000017256,Pan troglodytes,Primates
XP_063666193.1,H2A,macroH2A.1,,358,9598,Chimpanzee,VGNC:4025,,462076.0,ENSPTRG00000017256,Pan troglodytes,Primates
XP_063666192.1,H2A,macroH2A.1,,360,9598,Chimpanzee,VGNC:4025,,462076.0,ENSPTRG00000017256,Pan troglodytes,Primates
XP_063666191.1,H2A,macroH2A.1,,361,9598,Chimpanzee,VGNC:4025,,462076.0,ENSPTRG00000017256,Pan troglodytes,Primates
XP_009447783.1,H2A,macroH2A.1,,368,9598,Chimpanzee,VGNC:4025,,462076.0,ENSPTRG00000017256,Pan troglodytes,Primates
XP_009447782.1,H2A,macroH2A.1,,369,9598,Chimpanzee,VGNC:4025,,462076.0,ENSPTRG00000017256,Pan troglodytes,Primates
XP_009447781.1,H2A,macroH2A.1,,371,9598,Chimpanzee,VGNC:4025,,462076.0,ENSPTRG00000017256,Pan troglodytes,Primates
XP_001170543.2,H2A,macroH2A.2,,372,9598,Chimpanzee,VGNC:5462,,450509.0,ENSPTRG00000002581,Pan troglodytes,Primates
XP_038320746.1,H2A,H2A.B,,367.0,9615,Dog,VGNC:83746,,612656,ENSCAFG00000028471,Canis lupus familiaris,Carnivora
XP_038302442.1,H2A,clustered H2A,isoform_1,131.0,9615,Dog,VGNC:83710,,488251,ENSCAFG00000024315,Canis lupus familiaris,Carnivora
XP_038440237.1,H2A,clustered H2A,isoform_2,132.0,9615,Dog,VGNC:83710,,488251,ENSCAFG00000024315,Canis lupus familiaris,Carnivora
XP_038302530.1,H2A,clustered H2A,isoform_7,130.0,9615,Dog,VGNC:83722,,488289,ENSCAFG00000030507,Canis lupus familiaris,Carnivora
XP_013965993.1,H2A,clustered H2A,isoform_7,130.0,9615,Dog,VGNC:83722,,488289,ENSCAFG00000030507,Canis lupus familiaris,Carnivora
XP_038440339.1,H2A,clustered H2A,isoform_7,130.0,9615,Dog,VGNC:83722,,488289,ENSCAFG00000030507,Canis lupus familiaris,Carnivora
XP_038318984.1,H2A,clustered H2A,isoform_13,93.0,9615,Dog,VGNC:83725,,488291,ENSCAFG00000049775,Canis lupus familiaris,Carnivora
XP_545413.1,H2A,clustered H2A,isoform_14,128.0,9615,Dog,VGNC:83725,,488291,ENSCAFG00000049775,Canis lupus familiaris,Carnivora
XP_038302531.1,H2A,clustered H2A,isoform_8,130.0,9615,Dog,VGNC:83724,,488297,ENSCAFG00000029759,Canis lupus familiaris,Carnivora
XP_022270322.1,H2A,clustered H2A,isoform_8,130.0,9615,Dog,VGNC:83724,,488297,ENSCAFG00000029759,Canis lupus familiaris,Carnivora
XP_038440340.1,H2A,clustered H2A,isoform_8,130.0,9615,Dog,VGNC:83724,,488297,ENSCAFG00000029759,Canis lupus familiaris,Carnivora
XP_038302527.1,H2A,clustered H2A,isoform_15,128.0,9615,Dog,VGNC:83742,,611231,ENSCAFG00000029078,Canis lupus familiaris,Carnivora
XP_022270324.1,H2A,clustered H2A,isoform_15,128.0,9615,Dog,VGNC:83742,,611231,ENSCAFG00000029078,Canis lupus familiaris,Carnivora
XP_038440336.1,H2A,clustered H2A,isoform_15,128.0,9615,Dog,VGNC:83742,,611231,ENSCAFG00000029078,Canis lupus familiaris,Carnivora
XP_038302552.1,H2A,clustered H2A,isoform_9,130.0,9615,Dog,VGNC:83759,,106558234,ENSCAFG00000044066,Canis lupus familiaris,Carnivora
XP_013965992.1,H2A,clustered H2A,isoform_9,130.0,9615,Dog,VGNC:83759,,106558234,ENSCAFG00000044066,Canis lupus familiaris,Carnivora
XP_038440361.1,H2A,clustered H2A,isoform_9,130.0,9615,Dog,VGNC:83759,,106558234,ENSCAFG00000044066,Canis lupus familiaris,Carnivora
XP_038302609.1,H2A,clustered H2A,isoform_10,119.0,9615,Dog,VGNC:83727,,488304,ENSCAFG00000047415,Canis lupus familiaris,Carnivora
XP_013965973.1,H2A,clustered H2A,isoform_11,119.0,9615,Dog,VGNC:83727,,488304,ENSCAFG00000047415,Canis lupus familiaris,Carnivora
XP_038440417.1,H2A,clustered H2A,isoform_12,119.0,9615,Dog,VGNC:83727,,488304,ENSCAFG00000047415,Canis lupus familiaris,Carnivora
XP_038302550.1,H2A,clustered H2A,isoform_9,130.0,9615,Dog,VGNC:83730,,488308,ENSCAFG00000028830,Canis lupus familiaris,Carnivora
XP_013965994.3,H2A,clustered H2A,isoform_9,130.0,9615,Dog,VGNC:83730,,488308,ENSCAFG00000028830,Canis lupus familiaris,Carnivora
XP_038440362.1,H2A,clustered H2A,isoform_9,130.0,9615,Dog,VGNC:83730,,488308,ENSCAFG00000028830,Canis lupus familiaris,Carnivora
XP_850808.1,H2A,clustered H2A,isoform_16,130.0,9615,Dog,VGNC:83737,,608631,ENSCAFG00000043458,Canis lupus familiaris,Carnivora
XP_540286.2,H2A,clustered H2A,isoform_16,130.0,9615,Dog,VGNC:83704,,483168,,Canis lupus familiaris,Carnivora
XP_545376.3,H2A,clustered H2A,isoform_20,161.0,9615,Dog,VGNC:83713,,488254,ENSCAFG00000044672,Canis lupus familiaris,Carnivora
XP_038278937.1,H2A,clustered H2A,isoform_17,129.0,9615,Dog,VGNC:83751,,100855593,ENSCAFG00000011574,Canis lupus familiaris,Carnivora
XP_003639664.1,H2A,clustered H2A,isoform_17,129.0,9615,Dog,VGNC:83751,,100855593,ENSCAFG00000011574,Canis lupus familiaris,Carnivora
XP_038418002.1,H2A,clustered H2A,isoform_17,129.0,9615,Dog,VGNC:83751,,100855593,ENSCAFG00000011574,Canis lupus familiaris,Carnivora
XP_038278936.1,H2A,clustered H2A,isoform_18,130.0,9615,Dog,VGNC:83750,,100855609,,Canis lupus familiaris,Carnivora
XP_003639665.1,H2A,clustered H2A,isoform_18,130.0,9615,Dog,VGNC:83750,,100855609,,Canis lupus familiaris,Carnivora
XP_038418001.1,H2A,clustered H2A,isoform_18,130.0,9615,Dog,VGNC:83750,,100855609,,Canis lupus familiaris,Carnivora
XP_038541965.1,H2A,clustered H2A,isoform_19,130.0,9615,Dog,VGNC:83700,,482203,ENSCAFG00000024329,Canis lupus familiaris,Carnivora
XP_005628406.1,H2A,clustered H2A,isoform_19,130.0,9615,Dog,VGNC:83700,,482203,ENSCAFG00000024329,Canis lupus familiaris,Carnivora
XP_038412336.1,H2A,clustered H2A,isoform_19,130.0,9615,Dog,VGNC:83700,,482203,ENSCAFG00000024329,Canis lupus familiaris,Carnivora
XP_038302477.1,H2A,clustered H2A,isoform_4,130.0,9615,Dog,VGNC:83766,,111093989,,Canis lupus familiaris,Carnivora
XP_022270159.1,H2A,clustered H2A,isoform_4,130.0,9615,Dog,VGNC:83766,,111093989,,Canis lupus familiaris,Carnivora
XP_038440277.1,H2A,clustered H2A,isoform_4,130.0,9615,Dog,VGNC:83766,,111093989,,Canis lupus familiaris,Carnivora
XP_038302476.1,H2A,clustered H2A,isoform_9,130.0,9615,Dog,VGNC:83715,,488262,ENSCAFG00000031754,Canis lupus familiaris,Carnivora
XP_013966034.1,H2A,clustered H2A,isoform_9,130.0,9615,Dog,VGNC:83715,,488262,ENSCAFG00000031754,Canis lupus familiaris,Carnivora
XP_038440276.1,H2A,clustered H2A,isoform_9,130.0,9615,Dog,VGNC:83715,,488262,ENSCAFG00000031754,Canis lupus familiaris,Carnivora
XP_038302475.1,H2A,clustered H2A,isoform_5,130.0,9615,Dog,VGNC:83720,,488268,ENSCAFG00000031860,Canis lupus familiaris,Carnivora
XP_005640150.1,H2A,clustered H2A,isoform_5,130.0,9615,Dog,VGNC:83720,,488268,ENSCAFG00000031860,Canis lupus familiaris,Carnivora
XP_038440275.1,H2A,clustered H2A,isoform_5,130.0,9615,Dog,VGNC:83720,,488268,ENSCAFG00000031860,Canis lupus familiaris,Carnivora
XP_013966033.1,H2A,clustered H2A,isoform_9,130.0,9615,Dog,VGNC:95372,,106558252,ENSCAFG00000043442,Canis lupus familiaris,Carnivora
XP_038302474.1,H2A,clustered H2A,isoform_3,133.0,9615,Dog,VGNC:83758,,100856200,,Canis lupus familiaris,Carnivora
XP_003640210.2,H2A,clustered H2A,isoform_9,130.0,9615,Dog,VGNC:83758,,100856200,,Canis lupus familiaris,Carnivora
XP_038318983.1,H2A,clustered H2A,isoform_9,130.0,9615,Dog,VGNC:83758,,100856200,,Canis lupus familiaris,Carnivora
XP_038440274.1,H2A,clustered H2A,isoform_3,133.0,9615,Dog,VGNC:83758,,100856200,,Canis lupus familiaris,Carnivora
NP_001361454.2,H2A,clustered H2A,isoform_6,130.0,9615,Dog,VGNC:83770,,111094037,ENSCAFG00000045621,Canis lupus familiaris,Carnivora
XP_038294868.1,H2A,H2A.J,,129.0,9615,Dog,VGNC:83708,,486669,ENSCAFG00000012984,Canis lupus familiaris,Carnivora
XP_543796.1,H2A,H2A.J,,129.0,9615,Dog,VGNC:83708,,486669,ENSCAFG00000012984,Canis lupus familiaris,Carnivora
XP_038432800.1,H2A,H2A.J,,129.0,9615,Dog,VGNC:83708,,486669,ENSCAFG00000012984,Canis lupus familiaris,Carnivora
XP_038304867.1,H2A,H2A.L,,128.0,9615,Dog,VGNC:109581,,491818,ENSCAFG00000043054,Canis lupus familiaris,Carnivora
XP_548938.1,H2A,H2A.L,,128.0,9615,Dog,VGNC:109581,,491818,ENSCAFG00000043054,Canis lupus familiaris,Carnivora
XP_038442417.1,H2A,H2A.L,,128.0,9615,Dog,VGNC:109581,,491818,ENSCAFG00000043054,Canis lupus familiaris,Carnivora
XP_038305691.1,H2A,H2A.L,,128.0,9615,Dog,VGNC:109582,,491827,ENSCAFG00000041985,Canis lupus familiaris,Carnivora
XP_548947.1,H2A,H2A.L,,128.0,9615,Dog,VGNC:109582,,491827,ENSCAFG00000041985,Canis lupus familiaris,Carnivora
XP_038443099.1,H2A,H2A.L,,128.0,9615,Dog,VGNC:109582,,491827,ENSCAFG00000041985,Canis lupus familiaris,Carnivora
XP_038305692.1,H2A,H2A.P,,121.0,9615,Dog,VGNC:83749,,100688661,,Canis lupus familiaris,Carnivora
XP_005641297.1,H2A,H2A.P,,121.0,9615,Dog,VGNC:83749,,100688661,,Canis lupus familiaris,Carnivora
XP_038443100.1,H2A,H2A.P,,121.0,9615,Dog,VGNC:83749,,100688661,,Canis lupus familiaris,Carnivora
XP_038305150.1,H2A,H2A.Q,,105.0,9615,Dog,VGNC:109580,,106558405,,Canis lupus familiaris,Carnivora
XP_013966888.1,H2A,H2A.Q,,105.0,9615,Dog,VGNC:109580,,106558405,,Canis lupus familiaris,Carnivora
XP_038444771.1,H2A,H2A.Q,,105.0,9615,Dog,VGNC:109580,,106558405,,Canis lupus familiaris,Carnivora
XP_038520614.1,H2A,H2A.X,,143.0,9615,Dog,VGNC:83734,,489372,ENSCAFG00000012332,Canis lupus familiaris,Carnivora
XP_003640205.1,H2A,H2A.X,,143.0,9615,Dog,VGNC:83734,,489372,ENSCAFG00000012332,Canis lupus familiaris,Carnivora
XP_003640206.1,H2A,H2A.X,,143.0,9615,Dog,VGNC:83734,,489372,ENSCAFG00000012332,Canis lupus familiaris,Carnivora
NP_001274021.1,H2A,H2A.Z.1,,128.0,9615,Dog,VGNC:83696,,478493,ENSCAFG00000010615,Canis lupus familiaris,Carnivora
XP_038299721.1,H2A,H2A.Z.1,,102.0,9615,Dog,VGNC:83696,,478493,ENSCAFG00000010615,Canis lupus familiaris,Carnivora
XP_038545201.1,H2A,H2A.Z.2,,90.0,9615,Dog,VGNC:83697,,475501,ENSCAFG00000032723,Canis lupus familiaris,Carnivora
XP_038545200.1,H2A,H2A.Z.2,,128.0,9615,Dog,VGNC:83697,,475501,ENSCAFG00000032723,Canis lupus familiaris,Carnivora
XP_038545199.1,H2A,H2A.Z.2,,146.0,9615,Dog,VGNC:83697,,475501,ENSCAFG00000032723,Canis lupus familiaris,Carnivora
XP_038545198.1,H2A,H2A.Z.2,,184.0,9615,Dog,VGNC:83697,,475501,ENSCAFG00000032723,Canis lupus familiaris,Carnivora
XP_013967514.1,H2A,H2A.Z.2,,90.0,9615,Dog,VGNC:83697,,475501,ENSCAFG00000032723,Canis lupus familiaris,Carnivora
XP_013967513.1,H2A,H2A.Z.2,,128.0,9615,Dog,VGNC:83697,,475501,ENSCAFG00000032723,Canis lupus familiaris,Carnivora
XP_013967512.1,H2A,H2A.Z.2,,146.0,9615,Dog,VGNC:83697,,475501,ENSCAFG00000032723,Canis lupus familiaris,Carnivora
XP_013967511.1,H2A,H2A.Z.2,,184.0,9615,Dog,VGNC:83697,,475501,ENSCAFG00000032723,Canis lupus familiaris,Carnivora
XP_038415467.1,H2A,H2A.Z.2,,90.0,9615,Dog,VGNC:83697,,475501,ENSCAFG00000032723,Canis lupus familiaris,Carnivora
XP_038415466.1,H2A,H2A.Z.2,,128.0,9615,Dog,VGNC:83697,,475501,ENSCAFG00000032723,Canis lupus familiaris,Carnivora
XP_038415465.1,H2A,H2A.Z.2,,146.0,9615,Dog,VGNC:83697,,475501,ENSCAFG00000032723,Canis lupus familiaris,Carnivora
