gene_name,canonical_gene_name,species_count,species,species_with_gene,species_ensembl_ids,detail_index_path
H2AC12,H2AC12,6,"bos_taurus,canis_lupus_familiaris,equus_caballus,human,macaca_mulatta,sus_scrofa","bos_taurus,canis_lupus_familiaris,equus_caballus,human,macaca_mulatta,sus_scrofa",bos_taurus:ENSBTAG00000054548|canis_lupus_familiaris:ENSCAFG00000049775|equus_caballus:ENSECAG00000042371|human:ENSG00000274997|macaca_mulatta:ENSMMUG00000061750|sus_scrofa:ENSSSCG00000047716,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
H2AC13,H2AC13,6,"bos_taurus,canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta","bos_taurus,canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta",bos_taurus:ENSBTAG00000046373|canis_lupus_familiaris:ENSCAFG00000029759|equus_caballus:ENSECAG00000043633|felis_catus:ENSFCAG00000051396|human:ENSG00000196747|macaca_mulatta:ENSMMUG00000055788,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
H2AC17,H2AC17,6,"canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta,sus_scrofa","canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta,sus_scrofa",canis_lupus_familiaris:ENSCAFG00000028830|equus_caballus:ENSECAG00000036162|felis_catus:ENSFCAG00000044591|human:ENSG00000278677|macaca_mulatta:ENSMMUG00000049519|sus_scrofa:ENSSSCG00000046222,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
H2AC21,H2AC21,6,"bos_taurus,equus_caballus,human,macaca_mulatta,pan_troglodytes,sus_scrofa","bos_taurus,equus_caballus,human,macaca_mulatta,pan_troglodytes,sus_scrofa",bos_taurus:ENSBTAG00000032456|equus_caballus:ENSECAG00000040706|human:ENSG00000184270|macaca_mulatta:ENSMMUG00000061036|pan_troglodytes:ENSPTRG00000047219|sus_scrofa:ENSSSCG00000037533,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
H2AC25,H2AC25,6,"bos_taurus,canis_lupus_familiaris,felis_catus,human,pan_troglodytes,sus_scrofa","bos_taurus,canis_lupus_familiaris,felis_catus,human,pan_troglodytes,sus_scrofa",bos_taurus:ENSBTAG00000037964|canis_lupus_familiaris:ENSCAFG00000024329|felis_catus:ENSFCAG00000024530|human:ENSG00000181218|pan_troglodytes:ENSPTRG00000047640|sus_scrofa:ENSSSCG00000047900,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
H2AC8,H2AC8,6,"bos_taurus,equus_caballus,felis_catus,human,macaca_mulatta,pan_troglodytes","bos_taurus,equus_caballus,felis_catus,human,macaca_mulatta,pan_troglodytes",bos_taurus:ENSBTAG00000048743|equus_caballus:ENSECAG00000039905|felis_catus:ENSFCAG00000048216|human:ENSG00000277075|macaca_mulatta:ENSMMUG00000060663|pan_troglodytes:ENSPTRG00000045582,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
H2AC15,H2AC15,5,"bos_taurus,canis_lupus_familiaris,felis_catus,human,macaca_mulatta","bos_taurus,canis_lupus_familiaris,felis_catus,human,macaca_mulatta",bos_taurus:ENSBTAG00000053621|canis_lupus_familiaris:ENSCAFG00000044066|felis_catus:ENSFCAG00000043173|human:ENSG00000275221|macaca_mulatta:ENSMMUG00000042665,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
H2AC20,H2AC20,5,"bos_taurus,equus_caballus,felis_catus,human,macaca_mulatta","bos_taurus,equus_caballus,felis_catus,human,macaca_mulatta",bos_taurus:ENSBTAG00000040098|equus_caballus:ENSECAG00000042897|felis_catus:ENSFCAG00000040278|human:ENSG00000184260|macaca_mulatta:ENSMMUG00000037540,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
H2AC7,H2AC7,5,"bos_taurus,canis_lupus_familiaris,equus_caballus,felis_catus,human","bos_taurus,canis_lupus_familiaris,equus_caballus,felis_catus,human",bos_taurus:ENSBTAG00000053792|canis_lupus_familiaris:ENSCAFG00000043442|equus_caballus:ENSECAG00000033031|felis_catus:ENSFCAG00000041358|human:ENSG00000196866,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
H2AB3,H2AB3,4,"canis_lupus_familiaris,equus_caballus,felis_catus,human","canis_lupus_familiaris,equus_caballus,felis_catus,human",canis_lupus_familiaris:ENSCAFG00000028471|equus_caballus:ENSECAG00000029871|felis_catus:ENSFCAG00000044965|human:ENSG00000277745,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
H2AC16,H2AC16,4,"canis_lupus_familiaris,equus_caballus,human,macaca_mulatta","canis_lupus_familiaris,equus_caballus,human,macaca_mulatta",canis_lupus_familiaris:ENSCAFG00000047415|equus_caballus:ENSECAG00000040805|human:ENSG00000276903|macaca_mulatta:ENSMMUG00000062046,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
H2AC19,H2AC19,4,"bos_taurus,equus_caballus,human,pan_troglodytes","bos_taurus,equus_caballus,human,pan_troglodytes",bos_taurus:ENSBTAG00000046003|equus_caballus:ENSECAG00000043631|human:ENSG00000272196|pan_troglodytes:ENSPTRG00000046303,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
H2AB2,H2AB2,3,"felis_catus,human,macaca_mulatta","felis_catus,human,macaca_mulatta",felis_catus:ENSFCAG00000044576|human:ENSG00000277858|macaca_mulatta:ENSMMUG00000055745,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
H2AC18,H2AC18,3,"bos_taurus,canis_lupus_familiaris,human","bos_taurus,canis_lupus_familiaris,human",bos_taurus:ENSBTAG00000038476|canis_lupus_familiaris:ENSCAFG00000043458|human:ENSG00000203812,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
H2AC4,H2AC4,3,"bos_taurus,equus_caballus,human","bos_taurus,equus_caballus,human",bos_taurus:ENSBTAG00000050614|equus_caballus:ENSECAG00000037839|human:ENSG00000278463,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
H2AC5,H2AC5,3,"canis_lupus_familiaris,equus_caballus,felis_catus","canis_lupus_familiaris,equus_caballus,felis_catus",canis_lupus_familiaris:ENSCAFG00000031754|equus_caballus:ENSECAG00000038416|felis_catus:ENSFCAG00000043084,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
H2AL1Q,H2AL1Q,3,"bos_taurus,canis_lupus_familiaris,human","bos_taurus,canis_lupus_familiaris,human",bos_taurus:ENSBTAG00000049451|canis_lupus_familiaris:ENSCAFG00000043054|human:ENSG00000249467,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
H2AL3,H2AL3,3,"bos_taurus,canis_lupus_familiaris,human","bos_taurus,canis_lupus_familiaris,human",bos_taurus:ENSBTAG00000052113|canis_lupus_familiaris:ENSCAFG00000041985|human:ENSG00000229674,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
H2AP,H2AP,3,"felis_catus,human,pan_troglodytes","felis_catus,human,pan_troglodytes",felis_catus:ENSFCAG00000048955|human:ENSG00000187516|pan_troglodytes:ENSPTRG00000021794,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
H2AB1,H2AB1,2,"human,macaca_mulatta","human,macaca_mulatta",human:ENSG00000274183|macaca_mulatta:ENSMMUG00000059127,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
H2AC10,H2AC10,2,"bos_taurus,felis_catus","bos_taurus,felis_catus",bos_taurus:ENSBTAG00000052895|felis_catus:ENSFCAG00000044530,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
H2AC2,H2AC2,2,"canis_lupus_familiaris,felis_catus","canis_lupus_familiaris,felis_catus",canis_lupus_familiaris:ENSCAFG00000044672|felis_catus:ENSFCAG00000030442,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
H2AC9,H2AC9,2,"canis_lupus_familiaris,equus_caballus","canis_lupus_familiaris,equus_caballus",canis_lupus_familiaris:ENSCAFG00000045621|equus_caballus:ENSECAG00000031036,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
