"accession","type","variant","isoform","protein_len","taxonomy id","organism","vgnc_id","hgnc_gene_name","ensembl_gene_id","species_name","order"
"XP_038545200.1","H2A","H2A.Z.2","","128.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723","Canis lupus familiaris","Carnivora"
"XP_038545199.1","H2A","H2A.Z.2","","146.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723","Canis lupus familiaris","Carnivora"
"XP_038545198.1","H2A","H2A.Z.2","","184.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723","Canis lupus familiaris","Carnivora"
"XP_013967514.1","H2A","H2A.Z.2","","90.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723","Canis lupus familiaris","Carnivora"
"XP_013967513.1","H2A","H2A.Z.2","","128.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723","Canis lupus familiaris","Carnivora"
"XP_013967512.1","H2A","H2A.Z.2","","146.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723","Canis lupus familiaris","Carnivora"
"XP_013967511.1","H2A","H2A.Z.2","","184.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723","Canis lupus familiaris","Carnivora"
"XP_038415467.1","H2A","H2A.Z.2","","90.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723","Canis lupus familiaris","Carnivora"
"XP_038415466.1","H2A","H2A.Z.2","","128.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723","Canis lupus familiaris","Carnivora"
"XP_038415465.1","H2A","H2A.Z.2","","146.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723","Canis lupus familiaris","Carnivora"
"XP_038415464.1","H2A","H2A.Z.2","","184.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723","Canis lupus familiaris","Carnivora"
"XP_038537506.1","H2A","macroH2A.1","","198.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076","Canis lupus familiaris","Carnivora"
"XP_038537505.1","H2A","macroH2A.1","","199.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076","Canis lupus familiaris","Carnivora"
"XP_038537504.1","H2A","macroH2A.1","","228.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076","Canis lupus familiaris","Carnivora"
"XP_038537503.1","H2A","macroH2A.1","","229.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076","Canis lupus familiaris","Carnivora"
