gene_name,tissue,gene_class,gene_species_count,species_n,mean_score,median_score,std_score,min_score,max_score,range,max_species,max_species_name,_max_score_check,min_species,min_species_name,_min_score_check,passes_conservative_species_filter,is_conservative_candidate,is_high_confidence_candidate,candidate_level
H2AC14,cerebral cortex,clustered,7,4,43.8225,34.775,27.42204390023958,23.27,82.47,59.2,sus_scrofa,Sus scrofa,82.47,human,Homo sapiens,23.27,True,True,True,high_confidence
H2AC17,testis,clustered,6,4,48.380714285714284,40.198095238095235,26.043405464308663,27.166666666666668,85.96,58.79333333333332,sus_scrofa,Sus scrofa,85.96,felis_catus,Felis catus,27.166666666666668,True,True,True,high_confidence
H2AC21,cerebellum,clustered,6,5,61.5262,46.506,29.094918279658398,34.765,93.465,58.7,equus_caballus,Equus caballus,93.465,human,Homo sapiens,34.765,True,True,True,high_confidence
H2AC13,uterus,clustered,7,3,65.37333333333333,56.35999999999999,30.321941450595368,40.58,99.18,58.60000000000001,mus_musculus,Mus musculus,99.18,felis_catus,Felis catus,40.58,False,False,False,background
H2AC1,testis,clustered,7,7,57.43142857142857,59.330000000000005,20.855723666564167,23.59,81.945,58.35499999999999,pan_troglodytes,Pan troglodytes,81.945,canis_lupus_familiaris,Canis lupus familiaris,23.59,True,True,True,high_confidence
H2AC6,epithelium of bronchus,clustered,7,2,61.61357142857143,61.61357142857143,41.04552834278998,32.59,90.63714285714286,58.04714285714286,human,Homo sapiens,90.63714285714286,equus_caballus,Equus caballus,32.59,False,False,False,background
H2AC19,lung,clustered,4,3,74.73666666666666,90.57000000000001,31.645082293040947,38.3,95.34,57.040000000000006,pan_troglodytes,Pan troglodytes,95.34,bos_taurus,Bos taurus,38.3,False,False,False,background
H2AC19,adult mammalian kidney,clustered,4,3,71.75060606060606,87.00181818181818,31.398166003361656,35.64,92.61,56.97,pan_troglodytes,Pan troglodytes,92.61,bos_taurus,Bos taurus,35.64,False,False,False,background
H2AC20,prefrontal cortex,clustered,5,4,40.764125,40.697,23.241223319692818,12.69,68.9725,56.2825,macaca_mulatta,Macaca mulatta,68.9725,felis_catus,Felis catus,12.69,True,True,True,high_confidence
H2AC6,endometrium,clustered,7,3,65.291,71.98833333333333,28.655457725264906,33.88,90.00466666666667,56.12466666666666,human,Homo sapiens,90.00466666666667,equus_caballus,Equus caballus,33.88,False,False,False,background
H2AC14,thymus,clustered,7,3,64.02666666666667,49.87,30.607685853937625,43.06,99.15,56.09,pan_troglodytes,Pan troglodytes,99.15,canis_lupus_familiaris,Canis lupus familiaris,43.06,False,False,False,background
H2AC14,duodenum,clustered,7,3,64.40916666666666,54.3525,29.17765694128528,41.59,97.285,55.69499999999999,sus_scrofa,Sus scrofa,97.285,human,Homo sapiens,41.59,False,False,False,background
H2AC14,adipose tissue,clustered,7,3,54.916,42.948,29.60367659599057,33.169999999999995,88.63,55.46,sus_scrofa,Sus scrofa,88.63,human,Homo sapiens,33.169999999999995,False,False,False,background
H2AC20,testis,clustered,5,5,62.861666666666665,48.7625,23.982767909422428,42.20333333333333,97.04,54.83666666666667,macaca_mulatta,Macaca mulatta,97.04,equus_caballus,Equus caballus,42.20333333333333,True,True,True,high_confidence
H2AC6,muscle tissue,clustered,7,3,65.68142857142857,80.4,30.16736704941082,30.98,85.66428571428571,54.68428571428571,bos_taurus,Bos taurus,85.66428571428571,equus_caballus,Equus caballus,30.98,False,False,False,background
H2AC11,testis,clustered,6,6,57.01396367521367,56.28458333333333,19.12601450555999,31.3475,86.02,54.6725,sus_scrofa,Sus scrofa,86.02,canis_lupus_familiaris,Canis lupus familiaris,31.3475,True,True,True,high_confidence
H2AC6,cerebellum,clustered,7,6,70.83947222222223,75.4555,18.896832181734318,43.593333333333334,97.8075,54.21416666666667,equus_caballus,Equus caballus,97.8075,bos_taurus,Bos taurus,43.593333333333334,True,True,True,high_confidence
H2AC8,brain,clustered,6,4,56.58207236842105,48.3066447368421,24.517257886723524,37.85,91.86500000000001,54.01500000000001,felis_catus,Felis catus,91.86500000000001,bos_taurus,Bos taurus,37.85,True,True,False,conservative
H2AC14,colon,clustered,7,4,59.64194444444444,49.733888888888885,25.22034070931293,42.62,96.47999999999999,53.85999999999999,sus_scrofa,Sus scrofa,96.47999999999999,macaca_mulatta,Macaca mulatta,42.62,True,True,False,conservative
H2AC21,testis,clustered,6,4,58.05833333333334,55.528333333333336,22.74009975873098,33.68666666666667,87.49,53.80333333333333,sus_scrofa,Sus scrofa,87.49,equus_caballus,Equus caballus,33.68666666666667,True,True,False,conservative
H2AC6,gluteus medius,clustered,7,2,56.3375,56.3375,37.727682310208245,29.66,83.015,53.355000000000004,bos_taurus,Bos taurus,83.015,equus_caballus,Equus caballus,29.66,False,False,False,background
H2AC13,bone marrow,clustered,7,5,70.02000000000001,75.53999999999999,21.770608627229507,40.5,93.62,53.120000000000005,equus_caballus,Equus caballus,93.62,canis_lupus_familiaris,Canis lupus familiaris,40.5,True,True,False,conservative
H2AC25,ovary,clustered,6,4,66.09833333333333,63.91,24.304154765983718,41.75,94.82333333333334,53.07333333333334,sus_scrofa,Sus scrofa,94.82333333333334,canis_lupus_familiaris,Canis lupus familiaris,41.75,True,True,False,conservative
H2AC25,hypothalamus,clustered,6,4,48.2078125,41.565,22.957854737336085,28.35,81.35125,53.00124999999999,human,Homo sapiens,81.35125,canis_lupus_familiaris,Canis lupus familiaris,28.35,True,True,False,conservative
H2AC13,cerebellum,clustered,7,4,56.790625000000006,59.97,23.072985179231114,27.325,79.89750000000001,52.572500000000005,equus_caballus,Equus caballus,79.89750000000001,human,Homo sapiens,27.325,True,True,False,conservative
H2AC19,omental fat pad,clustered,4,2,61.70090909090909,61.70090909090909,36.96882816912577,35.56,87.84181818181818,52.28181818181818,human,Homo sapiens,87.84181818181818,bos_taurus,Bos taurus,35.56,False,False,False,background
H2AC25,colon,clustered,6,4,62.91375,59.6725,23.82321674858372,40.16,92.15,51.99000000000001,sus_scrofa,Sus scrofa,92.15,canis_lupus_familiaris,Canis lupus familiaris,40.16,True,True,False,conservative
H2AC21,right lobe of liver,clustered,6,2,65.8775,65.8775,36.42660583282499,40.12,91.63499999999999,51.51499999999999,sus_scrofa,Sus scrofa,91.63499999999999,human,Homo sapiens,40.12,False,False,False,background
H2AC25,cerebral cortex,clustered,6,5,69.308,80.33,23.19453992861251,42.875,94.01,51.135000000000005,sus_scrofa,Sus scrofa,94.01,canis_lupus_familiaris,Canis lupus familiaris,42.875,True,True,False,conservative
H2AC21,ovary,clustered,6,3,60.70499999999999,43.875,29.32812941529002,43.669999999999995,94.57,50.9,sus_scrofa,Sus scrofa,94.57,bos_taurus,Bos taurus,43.669999999999995,False,False,False,background
H2AC21,uterus,clustered,6,2,64.17500000000001,64.17500000000001,35.800816331474905,38.86,89.49000000000001,50.63000000000001,sus_scrofa,Sus scrofa,89.49000000000001,bos_taurus,Bos taurus,38.86,False,False,False,background
H2AC7,bone marrow,clustered,5,4,63.933749999999996,64.3475,20.581271978427377,38.32,88.72,50.4,equus_caballus,Equus caballus,88.72,canis_lupus_familiaris,Canis lupus familiaris,38.32,True,True,False,conservative
H2AC19,testis,clustered,4,4,78.86583333333334,86.675,23.66856195462664,45.86333333333334,96.25,50.38666666666666,human,Homo sapiens,96.25,bos_taurus,Bos taurus,45.86333333333334,True,True,False,conservative
H2AC6,spinal cord,clustered,7,3,76.88558333333333,88.273,26.71847600015452,46.36,96.02375,49.66375000000001,equus_caballus,Equus caballus,96.02375,canis_lupus_familiaris,Canis lupus familiaris,46.36,False,False,False,background
H2AC21,amygdala,clustered,6,2,54.13,54.13,34.6340901425171,29.64,78.62,48.980000000000004,sus_scrofa,Sus scrofa,78.62,human,Homo sapiens,29.64,False,False,False,background
H2AX,adipose tissue,variant,8,5,70.53299999999999,74.88,18.12217619382396,40.66,89.62,48.96000000000001,sus_scrofa,Sus scrofa,89.62,canis_lupus_familiaris,Canis lupus familiaris,40.66,True,True,False,conservative
H2AC20,liver,clustered,5,4,70.76676948051949,74.17068181818182,21.387605297455416,42.92,91.80571428571429,48.885714285714286,macaca_mulatta,Macaca mulatta,91.80571428571429,equus_caballus,Equus caballus,42.92,True,True,False,conservative
H2AC6,testis,clustered,7,7,51.61577380952381,48.74,17.098025952138066,32.96333333333333,81.27,48.306666666666665,human,Homo sapiens,81.27,felis_catus,Felis catus,32.96333333333333,True,True,False,conservative
MACROH2A2,zone of skin,variant,8,5,57.66133333333333,64.92666666666666,18.544626145837746,30.5,78.57000000000001,48.07000000000001,human,Homo sapiens,78.57000000000001,felis_catus,Felis catus,30.5,True,True,False,conservative
H2AC12,testis,clustered,6,4,42.589375000000004,43.446250000000006,21.376976163523064,17.73,65.735,48.004999999999995,bos_taurus,Bos taurus,65.735,canis_lupus_familiaris,Canis lupus familiaris,17.73,True,False,False,background
H2AC25,spleen,clustered,6,6,59.32525324675324,61.058,17.931121423427104,31.63,79.5390909090909,47.90909090909091,human,Homo sapiens,79.5390909090909,felis_catus,Felis catus,31.63,True,False,False,background
H2AC20,adult mammalian kidney,clustered,5,4,60.47439393939395,58.79045454545455,20.572400420101577,38.28,86.03666666666668,47.756666666666675,macaca_mulatta,Macaca mulatta,86.03666666666668,equus_caballus,Equus caballus,38.28,True,False,False,background
H2AC19,leukocyte,clustered,4,3,57.50555555555555,56.50666666666667,23.860686479212184,34.16,81.85,47.69,human,Homo sapiens,81.85,equus_caballus,Equus caballus,34.16,False,False,False,background
H2AC14,kidney,clustered,7,2,57.315,57.315,33.70778025916273,33.48,81.15,47.67000000000001,human,Homo sapiens,81.15,bos_taurus,Bos taurus,33.48,False,False,False,background
H2AC13,oviduct epithelium,clustered,7,2,68.255,68.255,33.55221676730169,44.53,91.98,47.45,equus_caballus,Equus caballus,91.98,bos_taurus,Bos taurus,44.53,False,False,False,background
H2AC19,spleen,clustered,4,3,79.4805303030303,91.1590909090909,25.74829673851404,49.9625,97.32,47.357499999999995,pan_troglodytes,Pan troglodytes,97.32,bos_taurus,Bos taurus,49.9625,False,False,False,background
H2AC13,placenta,clustered,7,4,62.785,60.15,20.083134715477065,41.78,89.06,47.28,mus_musculus,Mus musculus,89.06,canis_lupus_familiaris,Canis lupus familiaris,41.78,True,False,False,background
H2AC25,zone of skin,clustered,6,3,53.45511111111111,43.57333333333333,25.079286772893624,34.822,81.97,47.147999999999996,human,Homo sapiens,81.97,canis_lupus_familiaris,Canis lupus familiaris,34.822,False,False,False,background
H2AC25,occipital lobe,clustered,6,2,67.94,67.94,33.26230298701519,44.42,91.46,47.03999999999999,canis_lupus_familiaris,Canis lupus familiaris,91.46,bos_taurus,Bos taurus,44.42,False,False,False,background
H2AC25,prefrontal cortex,clustered,6,6,59.5595670995671,55.230000000000004,19.268540232276504,37.34,84.11285714285714,46.772857142857134,human,Homo sapiens,84.11285714285714,bos_taurus,Bos taurus,37.34,True,False,False,background
H2AC6,zone of skin,clustered,7,4,63.1175,65.00571428571429,22.62039151020225,37.89,84.56857142857143,46.67857142857143,human,Homo sapiens,84.56857142857143,equus_caballus,Equus caballus,37.89,True,False,False,background
MACROH2A2,testis,variant,8,8,60.04778846153846,57.608333333333334,15.743827266667939,32.73,79.30230769230769,46.572307692307696,human,Homo sapiens,79.30230769230769,felis_catus,Felis catus,32.73,True,False,False,background
H2AC21,bone marrow,clustered,6,4,73.2,70.945,19.294995897036785,52.2,98.71,46.50999999999999,pan_troglodytes,Pan troglodytes,98.71,bos_taurus,Bos taurus,52.2,True,False,False,background
H2AC6,occipital lobe,clustered,7,3,70.44222222222221,74.79666666666667,23.519292396133327,45.05,91.48,46.43000000000001,canis_lupus_familiaris,Canis lupus familiaris,91.48,bos_taurus,Bos taurus,45.05,False,False,False,background
H2AC21,thymus,clustered,6,2,75.83,75.83,32.753186104560875,52.67,98.99,46.31999999999999,pan_troglodytes,Pan troglodytes,98.99,bos_taurus,Bos taurus,52.67,False,False,False,background
H2AC21,pituitary gland,clustered,6,4,55.8375,57.9375,19.953872848814754,30.615000000000002,76.86,46.245,sus_scrofa,Sus scrofa,76.86,human,Homo sapiens,30.615000000000002,True,False,False,background
H2AC8,zone of skin,clustered,6,3,44.3519696969697,43.25,23.097678214743702,21.825000000000003,67.9809090909091,46.15590909090909,human,Homo sapiens,67.9809090909091,equus_caballus,Equus caballus,21.825000000000003,False,False,False,background
H2AC25,heart,clustered,6,5,58.59930000000001,54.85,19.211017534217184,31.509999999999998,77.623,46.11300000000001,human,Homo sapiens,77.623,canis_lupus_familiaris,Canis lupus familiaris,31.509999999999998,True,False,False,background
H2AC21,duodenum,clustered,6,2,73.92375,73.92375,32.28119232811886,51.0975,96.75,45.6525,sus_scrofa,Sus scrofa,96.75,bos_taurus,Bos taurus,51.0975,False,False,False,background
H2AC25,stomach,clustered,6,3,70.24444444444445,70.94833333333334,22.630711454258925,47.269999999999996,92.515,45.245000000000005,sus_scrofa,Sus scrofa,92.515,canis_lupus_familiaris,Canis lupus familiaris,47.269999999999996,False,False,False,background
H2AC21,mesenteric lymph node,clustered,6,2,75.2675,75.2675,31.950619907914152,52.675,97.86,45.185,sus_scrofa,Sus scrofa,97.86,bos_taurus,Bos taurus,52.675,False,False,False,background
H2AC15,primary visual cortex,clustered,5,2,56.9025,56.9025,31.851624958548037,34.38,79.42500000000001,45.04500000000001,human,Homo sapiens,79.42500000000001,macaca_mulatta,Macaca mulatta,34.38,False,False,False,background
H2AC25,testis,clustered,6,6,53.50006944444444,58.663333333333334,16.77637346674191,25.974999999999998,70.625,44.650000000000006,pan_troglodytes,Pan troglodytes,70.625,canis_lupus_familiaris,Canis lupus familiaris,25.974999999999998,True,False,False,background
H2AC25,cerebellum,clustered,6,5,72.37433333333334,76.38666666666667,20.993585581209214,50.61,95.21999999999998,44.609999999999985,human,Homo sapiens,95.21999999999998,bos_taurus,Bos taurus,50.61,True,False,False,background
H2AC19,colon,clustered,4,3,75.58166666666666,87.725,24.564922314823896,47.31,91.71,44.39999999999999,pan_troglodytes,Pan troglodytes,91.71,bos_taurus,Bos taurus,47.31,False,False,False,background
H2AC21,subcutaneous adipose tissue,clustered,6,3,56.07996296296296,43.96888888888889,24.448593551997668,40.051,84.22,44.169,sus_scrofa,Sus scrofa,84.22,human,Homo sapiens,40.051,False,False,False,background
H2AJ,spermatid,variant,8,2,72.145,72.145,31.20462225376234,50.08,94.21,44.129999999999995,macaca_mulatta,Macaca mulatta,94.21,bos_taurus,Bos taurus,50.08,False,False,False,background
H2AC25,mesenteric lymph node,clustered,6,2,73.5475,73.5475,31.130376041737758,51.535,95.56,44.025000000000006,sus_scrofa,Sus scrofa,95.56,bos_taurus,Bos taurus,51.535,False,False,False,background
H2AC13,testis,clustered,7,6,41.69694444444445,41.272499999999994,15.544296709249513,19.986666666666665,63.9,43.913333333333334,bos_taurus,Bos taurus,63.9,felis_catus,Felis catus,19.986666666666665,True,False,False,background
H2AC6,liver,clustered,7,7,71.80906037414965,70.53,17.98046482259009,46.72,90.51190476190476,43.79190476190476,human,Homo sapiens,90.51190476190476,equus_caballus,Equus caballus,46.72,True,False,False,background
H2AC15,kidney,clustered,5,2,50.915,50.915,30.907637405663994,29.06,72.77,43.709999999999994,human,Homo sapiens,72.77,canis_lupus_familiaris,Canis lupus familiaris,29.06,False,False,False,background
H2AC8,oviduct epithelium,clustered,6,3,69.04833333333333,71.705,21.970796715943944,45.87,89.57,43.699999999999996,equus_caballus,Equus caballus,89.57,bos_taurus,Bos taurus,45.87,False,False,False,background
H2AC17,colon,clustered,6,4,59.736666666666665,53.79833333333333,20.0583864422507,43.96,87.39,43.43,sus_scrofa,Sus scrofa,87.39,canis_lupus_familiaris,Canis lupus familiaris,43.96,True,False,False,background
H2AC14,bone marrow,clustered,7,3,77.16333333333334,75.65,21.749522600124653,56.21,99.63,43.419999999999995,pan_troglodytes,Pan troglodytes,99.63,bos_taurus,Bos taurus,56.21,False,False,False,background
H2AX,lymph node,variant,8,5,77.68833333333333,83.59166666666667,17.540820644681617,46.83,90.12,43.290000000000006,mus_musculus,Mus musculus,90.12,canis_lupus_familiaris,Canis lupus familiaris,46.83,True,False,False,background
H2AC17,brain,clustered,6,3,51.24166666666667,47.16,21.643111105692114,31.930000000000003,74.635,42.705,felis_catus,Felis catus,74.635,human,Homo sapiens,31.930000000000003,False,False,False,background
H2AC16,heart,clustered,4,2,40.784,40.784,29.90213156281672,19.64,61.928,42.288,human,Homo sapiens,61.928,canis_lupus_familiaris,Canis lupus familiaris,19.64,False,False,False,background
MACROH2A2,placenta,variant,8,3,70.735,74.975,21.402346249885777,47.53,89.7,42.17,canis_lupus_familiaris,Canis lupus familiaris,89.7,bos_taurus,Bos taurus,47.53,False,False,False,background
H2AC6,hypothalamus,clustered,7,3,58.67644444444445,48.12,22.96910921054463,42.88333333333333,85.02600000000001,42.14266666666668,human,Homo sapiens,85.02600000000001,bos_taurus,Bos taurus,42.88333333333333,False,False,False,background
H2AC20,brain,clustered,5,3,71.11694444444446,67.4925,21.29839858242694,51.86333333333334,93.995,42.13166666666667,felis_catus,Felis catus,93.995,human,Homo sapiens,51.86333333333334,False,False,False,background
H2AC25,brain,clustered,6,4,70.580625,71.68625,19.16470370835841,48.44,90.50999999999999,42.06999999999999,felis_catus,Felis catus,90.50999999999999,bos_taurus,Bos taurus,48.44,True,False,False,background
H2AC8,cerebellum,clustered,6,4,64.74666666666667,55.52333333333333,20.254096704946715,52.985,94.955,41.97,equus_caballus,Equus caballus,94.955,pan_troglodytes,Pan troglodytes,52.985,True,False,False,background
H2AC15,testis,clustered,5,4,40.64208333333333,44.65083333333334,19.497785884508737,15.66,57.60666666666666,41.94666666666666,bos_taurus,Bos taurus,57.60666666666666,canis_lupus_familiaris,Canis lupus familiaris,15.66,True,False,False,background
H2AJ,testis,variant,8,8,81.89915331196582,84.11480769230769,17.089019785486133,57.99,99.815,41.824999999999996,pan_troglodytes,Pan troglodytes,99.815,felis_catus,Felis catus,57.99,True,False,False,background
H2AC8,colon,clustered,6,4,58.617656249999996,63.7953125,19.628092142114138,32.6,74.28,41.68,pan_troglodytes,Pan troglodytes,74.28,bos_taurus,Bos taurus,32.6,True,False,False,background
H2AC8,temporal lobe,clustered,6,2,70.841,70.841,29.41422788379801,50.041999999999994,91.64,41.598000000000006,pan_troglodytes,Pan troglodytes,91.64,human,Homo sapiens,50.041999999999994,False,False,False,background
H2AC14,tonsil,clustered,7,2,77.85249999999999,77.85249999999999,29.355538020959525,57.095,98.61,41.515,sus_scrofa,Sus scrofa,98.61,human,Homo sapiens,57.095,False,False,False,background
H2AC14,stomach,clustered,7,3,64.72722222222222,61.16166666666667,20.869702676722902,45.87,87.15,41.28000000000001,sus_scrofa,Sus scrofa,87.15,canis_lupus_familiaris,Canis lupus familiaris,45.87,False,False,False,background
H2AC21,spleen,clustered,6,5,57.71331428571428,48.13,18.443851606031373,37.798,79.02,41.221999999999994,pan_troglodytes,Pan troglodytes,79.02,human,Homo sapiens,37.798,True,False,False,background
H2AC21,longissimus thoracis muscle,clustered,6,2,58.660192307692306,58.660192307692306,29.126000281220502,38.065,79.25538461538461,41.190384615384616,sus_scrofa,Sus scrofa,79.25538461538461,bos_taurus,Bos taurus,38.065,False,False,False,background
H2AC25,heart left ventricle,clustered,6,3,66.64785714285715,75.11,21.739255133870397,41.95,82.88357142857144,40.93357142857144,human,Homo sapiens,82.88357142857144,canis_lupus_familiaris,Canis lupus familiaris,41.95,False,False,False,background
H2AC25,olfactory segment of nasal mucosa,clustered,6,2,62.147499999999994,62.147499999999994,28.768639392574688,41.805,82.49,40.684999999999995,human,Homo sapiens,82.49,bos_taurus,Bos taurus,41.805,False,False,False,background
H2AC25,duodenum,clustered,6,3,74.3525,75.71,20.370202962906376,53.337500000000006,94.01,40.6725,sus_scrofa,Sus scrofa,94.01,bos_taurus,Bos taurus,53.337500000000006,False,False,False,background
H2AC1,liver,clustered,7,6,38.34327380952381,38.36696428571428,13.554638622424571,20.21,60.87571428571429,40.66571428571429,mus_musculus,Mus musculus,60.87571428571429,felis_catus,Felis catus,20.21,True,False,False,background
H2AC14,subcutaneous adipose tissue,clustered,7,3,47.74000000000001,48.7,20.297034266118786,26.98,67.54,40.56,sus_scrofa,Sus scrofa,67.54,human,Homo sapiens,26.98,False,False,False,background
H2AC25,pituitary gland,clustered,6,5,72.7076,73.68333333333334,16.490217535119285,55.22666666666667,95.65,40.42333333333334,sus_scrofa,Sus scrofa,95.65,bos_taurus,Bos taurus,55.22666666666667,True,False,False,background
MACROH2A2,lung,variant,8,5,60.827214285714284,51.87,18.454233531349704,41.2,81.59,40.39,canis_lupus_familiaris,Canis lupus familiaris,81.59,macaca_mulatta,Macaca mulatta,41.2,True,False,False,background
H2AC25,adult mammalian kidney,clustered,6,6,53.44044191919192,52.75208333333333,14.594516313474754,34.79666666666667,75.075,40.278333333333336,pan_troglodytes,Pan troglodytes,75.075,canis_lupus_familiaris,Canis lupus familiaris,34.79666666666667,True,False,False,background
H2AC17,ovary,clustered,6,3,51.339999999999996,58.95,21.189302594574567,27.396666666666665,67.67333333333333,40.27666666666667,sus_scrofa,Sus scrofa,67.67333333333333,human,Homo sapiens,27.396666666666665,False,False,False,background
H2AC19,liver,clustered,4,4,70.62013111888112,71.72276223776224,20.64871573747942,49.41,89.625,40.215,pan_troglodytes,Pan troglodytes,89.625,equus_caballus,Equus caballus,49.41,True,False,False,background
H2AC13,cerebral cortex,clustered,7,3,48.73833333333334,50.89,20.16876442257516,27.58,67.745,40.165000000000006,bos_taurus,Bos taurus,67.745,human,Homo sapiens,27.58,False,False,False,background
H2AJ,pituitary gland,variant,8,5,86.09558974358974,92.69,16.7379827866033,56.72,96.83999999999999,40.11999999999999,canis_lupus_familiaris,Canis lupus familiaris,96.83999999999999,pan_troglodytes,Pan troglodytes,56.72,True,False,False,background
H2AC8,testis,clustered,6,6,54.803952991452995,61.12833333333333,16.853970576223247,30.849999999999998,70.935,40.08500000000001,pan_troglodytes,Pan troglodytes,70.935,felis_catus,Felis catus,30.849999999999998,True,False,False,background
H2AC13,esophagus,clustered,7,3,49.36833333333333,42.785,20.835229980332183,32.62,72.69999999999999,40.07999999999999,bos_taurus,Bos taurus,72.69999999999999,mus_musculus,Mus musculus,32.62,False,False,False,background
H2AC11,ovary,clustered,6,4,60.424833333333325,65.58166666666666,18.95346066612169,35.33,75.20599999999999,39.87599999999999,human,Homo sapiens,75.20599999999999,bos_taurus,Bos taurus,35.33,True,False,False,background
H2AC15,lung,clustered,5,2,43.05714285714286,43.05714285714286,28.167093552293842,23.14,62.97428571428571,39.83428571428571,human,Homo sapiens,62.97428571428571,canis_lupus_familiaris,Canis lupus familiaris,23.14,False,False,False,background
H2AC17,blood,clustered,6,3,57.39270833333333,68.775625,22.206718475333275,31.802500000000002,71.6,39.79749999999999,canis_lupus_familiaris,Canis lupus familiaris,71.6,equus_caballus,Equus caballus,31.802500000000002,False,False,False,background
H2AC8,olfactory segment of nasal mucosa,clustered,6,3,51.24666666666667,49.02,19.96335225690649,32.49,72.23,39.74,human,Homo sapiens,72.23,bos_taurus,Bos taurus,32.49,False,False,False,background
H2AC8,heart,clustered,6,4,54.34466666666667,57.772999999999996,17.55436687677583,31.070000000000004,70.76266666666668,39.69266666666667,human,Homo sapiens,70.76266666666668,bos_taurus,Bos taurus,31.070000000000004,True,False,False,background
H2AX,heart left ventricle,variant,8,4,74.45178921568626,72.80191176470588,17.60777016892005,56.26333333333333,95.94,39.67666666666667,mus_musculus,Mus musculus,95.94,canis_lupus_familiaris,Canis lupus familiaris,56.26333333333333,True,False,False,background
H2AC13,Ammon's horn,clustered,7,3,47.02555555555555,36.06666666666667,21.907486374736358,32.76,72.25,39.49,bos_taurus,Bos taurus,72.25,human,Homo sapiens,32.76,False,False,False,background
H2AC13,liver,clustered,7,6,49.29443073593074,45.31142857142857,14.652002197171822,36.596,76.03999999999999,39.443999999999996,felis_catus,Felis catus,76.03999999999999,canis_lupus_familiaris,Canis lupus familiaris,36.596,True,False,False,background
H2AC11,temporal lobe,clustered,6,2,61.64,61.64,27.888291449997432,41.92,81.36,39.44,canis_lupus_familiaris,Canis lupus familiaris,81.36,human,Homo sapiens,41.92,False,False,False,background
