accession,hist_type,hist_var,taxid,curated
AAB59208.1,H1,generic_H1,7660,False
AAC26851.1,H2A,H2A.P,9606,True
AAC28846.1,H2A,macroH2A,9031,True
AAC37291.1,H2A,H2A.X,5911,True
AAC37292.1,H2A,canonical_H2A,5911,True
AAH38109.1,H2B,H2B.W,9606,False
AAH52363.1,H1,TS_H1.7,10090,False
AAH53779.1,H1,H1.0,8355,False
AAH54149.1,H1,H1.0,8355,False
AAH55003.1,H1,generic_H1,10090,False
AAH61837.1,H1,generic_H1,10116,False
AAH66241.1,H2B,H2B.1,9606,False
AAH66243.1,H2B,H2B.1,9606,False
AAH67487.1,H2B,canonical_H2B,9606,False
AAH67493.1,H3,TS_H3.4,9606,False
AAH67985.1,H1,H1.0,8364,False
AAH73272.1,H2A,macroH2A,8355,False
AAH76088.1,H2B,canonical_H2B,7955,False
AAH77015.1,H2A,macroH2A,8364,False
AAH77427.1,H2A,canonical_H2A,8355,False
AAH81020.1,H1,TS_H1.6,8355,False
AAH81561.1,H3,H3.3,9606,True
AAH83299.1,H2A,canonical_H2A,7955,False
AAH84065.1,H1,generic_H1,8355,False
AAH84765.1,H1,generic_H1,8355,False
AAH85950.1,H1,TS_H1.7,10116,False
AAH88824.1,H2A,H2A.Z,8355,False
AAH91558.1,H2B,canonical_H2B,7955,False
AAH95255.1,H1,generic_H1,7955,False
AAH95406.1,H2A,macroH2A,9606,False
AAH95697.1,H2B,canonical_H2B,7955,False
AAH96170.1,H1,TS_H1.6,9606,False
AAH97052.1,H1,generic_H1,7955,False
AAH97059.1,H3,canonical_H3,7955,False
AAH97115.1,H2A,macroH2A,7955,False
AAI18605.1,H2B,H2B.W,9606,False
AAI19788.1,H1,TS_H1.7,9606,False
AAI21817.1,H2B,H2B.W,9606,False
AAI52107.1,H2B,canonical_H2B,7955,False
AAI64227.1,H2A,canonical_H2A,7955,False
AAI64926.1,H2B,canonical_H2B,7955,False
AAK39657.1,H3,cenH3,55529,True
AAM80988.1,H3,cenH3,7227,False
AAM95790.1,H3,H3.3,5811,True
AAN08620.1,H2A,macroH2A,9606,False
AAO26201.1,H1,generic_H1,9606,False
AAO26655.1,H1,generic_H1,10090,False
AAO26656.1,H1,generic_H1,10090,False
AAO72080.1,H1,generic_H1,7957,False
AAP06509.1,H1,H1.0,6182,False
AAP31305.1,H1,generic_H1,3906,False
AAP31306.1,H1,generic_H1,3910,False
AAP31307.1,H1,generic_H1,41258,False
AAP37489.1,H2B,H2B.W,9606,False
AAP37490.1,H2B,H2B.W,9606,False
AAP60022.1,H1,TS_H1.7,9606,False
AAP80715.1,H2A,canonical_H2A,83288,False
AAP80717.1,H3,canonical_H3,83288,False
AAP80718.1,H4,canonical_H4,83288,False
AAP80725.1,H3,H3.3,83288,True
AAP92164.1,H1,generic_H1,3880,False
AAP94647.1,H1,generic_H1,29158,False
AAP94659.1,H2B,canonical_H2B,29158,False
AAP94660.1,H2B,canonical_H2B,6549,False
AAP94661.1,H2B,canonical_H2B,6550,False
AAP94663.1,H2B,canonical_H2B,173667,False
AAP94664.1,H3,canonical_H3,6549,False
AAP94665.1,H3,canonical_H3,173667,False
AAQ01754.1,H1,generic_H1,381124,False
AAQ99138.1,H1,generic_H1,7998,False
AAS17527.1,H4,canonical_H4,30521,False
AAS20969.1,H2B,canonical_H2B,82025,False
AAS59415.1,H3,H3.5,34839,False
AAS66764.1,H1,generic_H1,9823,False
AAS66765.1,H1,TS_H1.6,9823,False
AAS66766.1,H1,TS_H1.6,9823,False
AAS78927.1,H2A,canonical_H2A,5811,False
AAT08677.1,H2A,H2A.W,82025,False
AAT08680.1,H2A,H2A.W,82025,False
AAT08725.1,H4,canonical_H4,82025,False
AAT08760.1,H1,generic_H1,82025,False
AAT39167.1,H2B,canonical_H2B,39947,False
AAT39174.1,H2A,H2A.W,39947,False
AAT39181.1,H2A,H2A.W,39947,False
AAT67047.1,H4,canonical_H4,4102,False
AAT94446.1,H4,canonical_H4,7227,False
AAV50096.1,H1,generic_H1,31234,False
AAV65112.1,H3,canonical_H3,4442,False
AAW21997.1,H1,generic_H1,7159,False
AAW24748.1,H3,H3.5,6182,False
AAW24973.1,H2B,canonical_H2B,6182,False
AAW25534.1,H2A,H2A.X,6182,False
AAW25937.1,H2A,H2A.Z,6182,False
AAX80306.1,H2A,H2A.Z,5691,False
AAY44841.1,H1,generic_H1,31234,False
AAY56388.1,H1,generic_H1,9823,False
AAY66901.1,H2B,canonical_H2B,6945,False
AAZ12700.1,H2A,H2A.Z,185431,False
AAZ66580.1,H1,generic_H1,7227,True
ABZ92484.1,H2A,macroH2A,32630,False
ACF87182.1,H1,generic_H1,4577,False
ACH70944.1,H1,H1.0,8030,True
ACI22865.1,H1,TS_H1.9,564181,True
ACI67021.1,H2A,canonical_H2A,8030,False
ACM08534.1,H1,H1.0,8030,True
ACM09455.1,H1,H1.10,8030,True
ACM09522.1,H1,TS_H1.6,8030,True
ACM09660.1,H1,H1.0,8030,True
ACO07432.1,H2A,canonical_H2A,8022,False
ACO07616.1,H1,H1.10,8022,True
ACO07901.1,H2A,canonical_H2A,8022,False
ACO07941.1,H2A,canonical_H2A,8022,False
ACO09903.1,H1,H1.10,8014,True
ACO10502.1,H1,H1.10,217165,True
ACO13624.1,H2A,canonical_H2A,8010,False
ACO13647.1,H2A,canonical_H2A,8010,False
ADD84748.1,H2A,macroH2A,7962,False
AEE61233.1,H1,TS_H1.7,9606,False
AEO58109.1,H4,canonical_H4,573729,False
AEO71608.1,H4,canonical_H4,578455,False
AFL48195.1,H3,H3.5,79327,False
AIB04395.1,H1,generic_H1,4577,False
AIC53666.1,H1,TS_H1.7,32630,False
AIC57867.1,H2B,H2B.W,32630,False
AOW44165.1,H2A,canonical_H2A,244447,False
AQK96335.1,H1,generic_H1,4577,False
AQK96336.1,H1,generic_H1,4577,False
AQK96338.1,H1,generic_H1,4577,False
ATO94598.1,H1,H1.0,32630,False
ATZ56605.1,H4,canonical_H4,332648,False
AWP00578.1,H2A,canonical_H2A,52904,False
AYU77792.1,H2A,H2A.Z,5661,False
BAD84177.1,H2A,H2A.Z,5885,False
BAD90754.1,H3,H3.3,41839,False
BAD90757.1,H3,H3.3,41839,False
BAD90809.1,H3,H3.5,41839,False
BAD92238.1,H2A,H2A.Z,9606,False
BAD92727.1,H2A,macroH2A,9606,False
BAE02191.1,H2A,canonical_H2A,9541,False
BAF17676.1,H2A,H2A.W,39947,False
BAG90407.1,H2A,H2A.W,39947,False
BAO42429.1,H4,canonical_H4,1003335,False
BAP72871.1,H4,canonical_H4,4911,False
BAP73816.1,H4,canonical_H4,4911,False
BAS94414.1,H2A,H2A.W,39947,False
CAA12233.1,H2B,canonical_H2B,4081,False
CAA32434.1,H3,canonical_H3,7227,True
CAA33554.1,H2A,H2A.Z,5911,True
CAC84677.1,H2A,H2A.Z,71647,False
CAC84679.1,H2B,canonical_H2B,71647,False
CAC84682.1,H1,generic_H1,71647,False
CAD38827.1,H3,canonical_H3,34765,False
CAD44614.1,H1,generic_H1,39947,False
CAD89678.1,H2B,canonical_H2B,263731,False
CAD89679.1,H3,canonical_H3,263732,False
CAE04793.1,H1,generic_H1,39947,False
CAG25586.1,H1,generic_H1,3888,False
CAG25587.1,H1,generic_H1,3888,False
CAG31210.1,H1,generic_H1,9031,False
CAG33360.1,H2A,H2A.X,9606,False
CAG84759.1,H4,canonical_H4,284592,False
CAG87194.1,H4,canonical_H4,284592,False
CAG87379.1,H2B,canonical_H2B,284592,False
CAG89536.1,H2A,H2A.X,284592,False
CAG89537.1,H2B,canonical_H2B,284592,False
CAG98387.1,H2B,canonical_H2B,28985,False
CAG98388.1,H2A,H2A.X,28985,False
CAG99818.1,H2B,canonical_H2B,28985,False
CAG99819.1,H2A,H2A.X,28985,False
CAG99830.1,H4,canonical_H4,28985,False
CAH66137.1,H1,generic_H1,4530,False
CAI29624.1,H1,H1.0,9601,False
CAI74369.1,H2A,H2A.Z,5874,False
CAJ03473.1,H2A,H2A.Z,347515,False
CAM59714.1,H2A,H2A.Z,435258,False
CAP68437.1,H4,canonical_H4,515849,False
CAR56747.1,H4,canonical_H4,28985,False
CAX70454.1,H2B,canonical_H2B,6182,False
CAX70455.1,H2B,canonical_H2B,6182,False
CAX70613.1,H2A,H2A.X,6182,False
CAX71527.1,H2A,H2A.Z,6182,False
CAX71528.1,H2A,H2A.Z,6182,False
CAX72005.1,H3,H3.5,6182,False
CAX72006.1,H3,H3.5,6182,False
CAX72007.1,H3,H3.5,6182,False
CAX72008.1,H3,H3.5,6182,False
CAX72009.1,H3,H3.5,6182,False
CAX72010.1,H3,H3.5,6182,False
CAX72011.1,H3,H3.5,6182,False
CAX72012.1,H3,H3.5,6182,False
CAX72214.1,H1,H1.0,6182,False
CAX72216.1,H1,H1.0,6182,False
CAX72217.1,H1,H1.0,6182,False
CAX75182.1,H3,H3.5,6182,False
CAX75183.1,H3,H3.5,6182,False
CAX75184.1,H3,H3.5,6182,False
CAX75185.1,H3,H3.5,6182,False
CAX75215.1,H2B,canonical_H2B,6182,False
CAX75216.1,H2B,canonical_H2B,6182,False
CAX75217.1,H2B,canonical_H2B,6182,False
CAX75537.1,H2A,H2A.X,6182,False
CAX75538.1,H2A,H2A.X,6182,False
CAX75539.1,H2A,H2A.X,6182,False
CAX75540.1,H2A,H2A.X,6182,False
CAX77350.1,H2A,H2A.Z,6182,False
CAX77351.1,H2A,H2A.Z,6182,False
CAX77352.1,H2A,H2A.Z,6182,False
CAX77353.1,H2A,H2A.Z,6182,False
CAX77354.1,H2A,H2A.Z,6182,False
CAX77355.1,H2A,H2A.Z,6182,False
CAX77356.1,H2A,H2A.Z,6182,False
CAX77357.1,H2A,H2A.Z,6182,False
CAX77358.1,H2A,H2A.Z,6182,False
CAX77359.1,H2A,H2A.Z,6182,False
CAX77360.1,H2A,H2A.Z,6182,False
CAX77361.1,H2A,H2A.Z,6182,False
CAX77362.1,H2A,H2A.Z,6182,False
CAX77363.1,H2A,H2A.Z,6182,False
CAX78697.1,H3,H3.5,6182,False
CAX78698.1,H3,H3.5,6182,False
CAX78700.1,H3,H3.5,6182,False
CAX78701.1,H3,H3.5,6182,False
CAX78702.1,H3,H3.5,6182,False
CAX78703.1,H3,H3.5,6182,False
CAX78704.1,H3,H3.5,6182,False
CAX78705.1,H3,H3.5,6182,False
CAX78706.1,H3,H3.5,6182,False
CAX78707.1,H3,H3.5,6182,False
CAX78708.1,H3,H3.5,6182,False
CAX78709.1,H3,H3.5,6182,False
CAX78710.1,H3,H3.5,6182,False
CAX78711.1,H3,H3.5,6182,False
CAX78712.1,H3,H3.5,6182,False
CAX78713.1,H3,H3.5,6182,False
CAX78714.1,H3,H3.5,6182,False
CAX78715.1,H3,H3.5,6182,False
CAX78716.1,H3,H3.5,6182,False
CAX79193.1,H1,H1.0,6182,False
CAX79194.1,H1,H1.0,6182,False
CAX79195.1,H1,H1.0,6182,False
CAX79196.1,H1,H1.0,6182,False
CAX79197.1,H1,H1.0,6182,False
CAX79201.1,H1,H1.0,6182,False
CAX79202.1,H1,H1.0,6182,False
CAX79203.1,H1,H1.0,6182,False
CAX79207.1,H1,H1.0,6182,False
CAX79208.1,H1,H1.0,6182,False
CAX79210.1,H1,H1.0,6182,False
CAX79212.1,H1,H1.0,6182,False
CAX79215.1,H1,H1.0,6182,False
CAX79216.1,H1,H1.0,6182,False
CAZ35552.1,H3,H3.5,6183,False
CBH12854.1,H2A,H2A.Z,679716,False
CBZ33180.1,H2A,H2A.Z,5661,False
CCA64048.1,H1,generic_H1,47742,False
CCA64054.1,H1,generic_H1,47742,False
CCA64055.1,H1,generic_H1,208194,False
CCA64096.1,H1,generic_H1,47742,False
CCA64100.1,H1,generic_H1,47742,False
CCA64107.1,H1,generic_H1,208194,False
CCD46912.1,H4,canonical_H4,999810,False
CCF34535.1,H4,canonical_H4,80884,False
CCF34779.1,H4,canonical_H4,80884,False
CDP30564.1,H4,canonical_H4,515849,False
CDP31909.1,H4,canonical_H4,515849,False
CDQ70523.1,H2A,canonical_H2A,8022,False
CDS18053.1,H3,H3.5,6210,False
CDS25794.1,H3,H3.5,85433,False
CEL74278.1,H2A,canonical_H2A,432359,False
CRK11849.1,H4,canonical_H4,100787,False
CRK11853.1,H4,canonical_H4,100787,False
CRK12173.1,H4,canonical_H4,100787,False
CRK34861.1,H4,canonical_H4,100787,False
CRK41384.1,H4,canonical_H4,100787,False
CUT98752.1,H3,H3.5,6211,False
DAA13058.1,H2B,H2B.W,9913,True
EAX08008.1,H3,H3.Y,9606,True
EAY93289.1,H1,generic_H1,39946,False
EAY98328.1,H2A,H2A.W,39946,False
EAZ29984.1,H1,generic_H1,39947,False
EDL04200.1,H1,TS_H1.7,10090,False
EDL80859.1,H1,generic_H1,10116,False
EDL80862.1,H1,generic_H1,10116,False
EDL80865.1,H1,generic_H1,10116,False
EDL80867.1,H1,generic_H1,10116,False
EDL87074.1,H1,TS_H1.7,10116,False
EDO46289.1,H2A,H2A.Z,45351,True
EDO48405.1,H2A,canonical_H2A,45351,True
EEC09556.1,H2B,canonical_H2B,6945,False
EEC09557.1,H2A,canonical_H2A,6945,True
EED88841.1,H1,H1.0,296543,True
EEE63993.1,H2A,H2A.W,39947,False
EEH08599.1,H4,canonical_H4,447093,False
EER16127.1,H2A,canonical_H2A,423536,True
EER42261.1,H4,canonical_H4,544712,False
EEY17318.1,H4,canonical_H4,526221,False
EEY20697.1,H4,canonical_H4,526221,False
EFQ25036.1,H4,canonical_H4,645133,False
EFQ33464.1,H4,canonical_H4,645133,False
EGC43645.1,H4,canonical_H4,544711,False
EGR44277.1,H4,canonical_H4,431241,False
EGR46644.1,H4,canonical_H4,431241,False
EGY14707.1,H4,canonical_H4,498257,False
EGY20407.1,H4,canonical_H4,498257,False
EHA48177.1,H4,canonical_H4,242507,False
EHA50976.1,H4,canonical_H4,242507,False
EHB04253.1,H2A,H2A.L,10181,True
EHB05905.1,H2A,H2A.B,10181,True
EHB10562.1,H2A,H2A.P,10181,True
EHB10563.1,H2A,H2A.L,10181,True
EHB11509.1,H2A,H2A.1,10181,False
EHB17227.1,H2A,H2A.L,10181,True
EHH30639.1,H2A,H2A.P,9544,True
EHK17037.1,H4,canonical_H4,413071,False
EHK17789.1,H4,canonical_H4,413071,False
EHK47479.1,H4,canonical_H4,452589,False
EHK48392.1,H4,canonical_H4,452589,False
EJT72626.1,H4,canonical_H4,644352,False
EJT73526.1,H4,canonical_H4,644352,False
EKG15020.1,H4,canonical_H4,1126212,False
ELA28155.1,H4,canonical_H4,1213859,False
ELA35425.1,H4,canonical_H4,1213859,False
ELK02669.1,H2A,H2A.1,9402,False
ELK11962.1,H2A,canonical_H2A,9402,False
ELQ38012.1,H4,canonical_H4,1143189,False
ELQ40775.1,H4,canonical_H4,1143189,False
ELQ44716.1,H2A,H2A.Z,1143189,False
ELQ61561.1,H4,canonical_H4,1143193,False
ELQ64196.1,H4,canonical_H4,1143193,False
ELQ66710.1,H2A,H2A.Z,1143193,False
ELV10127.1,H2A,canonical_H2A,246437,False
EMR61500.1,H4,canonical_H4,1287681,False
EMR65366.1,H4,canonical_H4,1287681,False
EMR82378.1,H4,canonical_H4,1290391,False
EOD50379.1,H4,canonical_H4,1287680,False
EON65598.1,H4,canonical_H4,1168221,False
EON98116.1,H4,canonical_H4,1286976,False
EOO04316.1,H4,canonical_H4,1286976,False
EPE03166.1,H4,canonical_H4,1262450,False
EPE07806.1,H4,canonical_H4,1262450,False
EPQ09447.1,H2A,H2A.1,109478,False
EQB43692.1,H4,canonical_H4,1237896,False
EQB58627.1,H4,canonical_H4,1237896,False
EQB78961.1,H2A,canonical_H2A,419612,False
EQK97973.1,H4,canonical_H4,911162,False
EQK98097.1,H4,canonical_H4,911162,False
ERS95000.1,H4,canonical_H4,1391915,False
ETR96985.1,H4,canonical_H4,1344414,False
ETS80495.1,H4,canonical_H4,1229662,False
ETS82309.1,H4,canonical_H4,1229662,False
EUB54600.1,H3,H3.5,6210,False
EXF82210.1,H4,canonical_H4,1445577,False
GAA29599.1,H3,H3.5,79923,False
GAP92186.1,H4,canonical_H4,77044,False
GAW11172.1,H4,canonical_H4,1813822,False
GAW13250.1,H4,canonical_H4,1813822,False
GAW26529.1,H4,canonical_H4,77044,False
KAA0186484.1,H3,H3.5,27845,False
KAA0704042.1,H2A,canonical_H2A,1572043,False
KAA1302530.1,H2A,H2A.1,562,False
KAA3672530.1,H3,H3.5,34504,False
KAA3673272.1,H3,H3.5,34504,False
KAB2571274.1,H4,canonical_H4,45133,False
KAB5543555.1,H2A,canonical_H2A,310915,False
KAB5558231.1,H4,canonical_H4,1571157,False
KAB5570490.1,H4,canonical_H4,1571157,False
KAB5585377.1,H4,canonical_H4,1571157,False
KAB8099767.1,H2A,H2A.W,4530,False
KDN62658.1,H4,canonical_H4,1173701,False
KDN66907.1,H4,canonical_H4,1173701,False
KEH23869.1,H1,generic_H1,3880,False
KER30170.1,H3,H3.5,6198,False
KFM77247.1,H3,H3.5,407821,False
KFO33711.1,H2A,H2A.1,885580,False
KFO33874.1,H2A,H2A.1,885580,False
KGB36963.1,H3,H3.5,6185,False
KIH93465.1,H4,canonical_H4,1398154,False
KJR83883.1,H4,canonical_H4,1397361,False
KJZ77035.1,H4,canonical_H4,1043627,False
KJZ78886.1,H4,canonical_H4,1043627,False
KKA20343.1,H4,canonical_H4,1408163,False
KKP01814.1,H4,canonical_H4,5544,False
KKP05357.1,H4,canonical_H4,5544,False
KKY19648.1,H4,canonical_H4,420778,False
KLU83463.1,H4,canonical_H4,644358,False
KLU84242.1,H4,canonical_H4,644358,False
KOF74861.1,H2A,canonical_H2A,37653,False
KPP75730.1,H2A,canonical_H2A,113540,False
KRZ98486.1,H2A,H2A.X,58627,False
KSA00013.1,H4,canonical_H4,58627,False
KSA02987.1,H4,canonical_H4,58627,False
KTG02653.1,H2A,canonical_H2A,7962,False
KTG42469.1,H2A,canonical_H2A,7962,False
KXH33563.1,H4,canonical_H4,1460502,False
KXH35881.1,H4,canonical_H4,703756,False
KXH60845.1,H4,canonical_H4,1460502,False
KXH65387.1,H4,canonical_H4,1209931,False
KXJ89690.1,H4,canonical_H4,196109,False
KXX73284.1,H4,canonical_H4,100816,False
KZL85219.1,H4,canonical_H4,1573173,False
NOGI_1,H3,H3.Y,9606,True
NOGI_2,H3,H3.Y,9598,True
NOGI_3,H3,H3.Y,9598,True
NOGI_4,H3,H3.Y,9606,True
NOGI_5,H3,H3.Y,9606,True
NOGI_6,H3,H3.Y,9544,True
NOGI_7,H3,H3.Y,9544,True
NP_001002724.1,H2B,canonical_H2B,7955,False
NP_001002916.3,H2B,H2B.W,9606,False
NP_001005967.1,H2A,canonical_H2A,7955,False
NP_001006560.1,H1,generic_H1,9031,False
NP_001013481.1,H2B,canonical_H2B,7955,False
NP_001013721.2,H3,H3.5,9606,True
NP_001017990.1,H2A,H2A.B,9606,True
NP_001018582.1,H1,generic_H1,7955,False
NP_001019527.1,H1,TS_H1.7,10116,False
NP_001020342.1,H3,canonical_H3,7955,False
NP_001020387.1,H1,generic_H1,9823,False
NP_001020673.1,H2A,macroH2A,7955,True
NP_001026545.1,H2A,H2A.Z,9031,True
NP_001026962.1,H1,TS_H1.6,9823,False
NP_001027285.1,H3,canonical_H3,7227,True
NP_001027352.1,H4,canonical_H4,7227,True
NP_001029249.1,H4,canonical_H4,9606,True
NP_001032546.1,H2B,canonical_H2B,9913,True
NP_001032934.1,H4,canonical_H4,9031,True
NP_001036148.2,H1,generic_H1,9606,False
NP_001036788.1,H2A,H2A.Z,7955,True
NP_001038138.1,H1,H1.0,9031,True
NP_001044904.1,H3,canonical_H3,39947,True
NP_001050276.1,H3,canonical_H3,39947,True
NP_001051232.1,H2A,H2A.Z,39947,True
NP_001066688.1,H2A,canonical_H2A,39947,True
NP_001066920.1,H2A,H2A.X,39947,True
NP_001069373.1,H2A,H2A.B,9913,True
NP_001069955.1,H1,H1.0,9913,True
NP_001071175.1,H1,generic_H1,10090,False
NP_001071426.1,H2A,H2A.L,9913,True
NP_001072943.1,H2A,canonical_H2A,9031,True
NP_001073188.1,H2B,canonical_H2B,9031,True
NP_001073248.1,H2A,H2A.X,9913,True
NP_001074230.1,H1,TS_H1.6,9544,True
NP_001080265.1,H1,H1.10,8355,True
NP_001081535.1,H1,generic_H1,8355,True
NP_001085741.1,H2A,macroH2A,8355,False
NP_001086753.1,H2B,canonical_H2B,8355,True
NP_001086775.1,H2A,canonical_H2A,8355,False
NP_001087633.1,H1,TS_H1.6,8355,False
NP_001087926.1,H4,canonical_H4,8355,True
NP_001087948.1,H2A,canonical_H2A,8355,True
NP_001087957.1,H1,TS_H1.6,8355,True
NP_001090264.1,H1,generic_H1,8355,False
NP_001091119.1,H3,canonical_H3,8355,True
NP_001102761.1,H2A,H2A.X,10116,True
NP_001103035.1,H1,TS_H1.9,10116,True
NP_001105357.1,H2A,H2A.W,4577,True
NP_001127680.1,H1,H1.0,9601,True
NP_001128070.1,H2A,H2A.P,10116,True
NP_001131585.1,H4,canonical_H4,4577,True
NP_001132837.1,H2A,canonical_H2A,4577,True
NP_001136523.1,H2A,H2A.Z,4577,True
NP_001141182.1,H2A,H2A.W,4577,True
NP_001141633.1,H2A,H2A.Z,4577,True
NP_001141858.1,H1,generic_H1,4577,False
NP_001141988.1,H2A,canonical_H2A,4577,True
NP_001180643.1,H3,canonical_H3,9544,True
NP_001180653.1,H2A,canonical_H2A,9544,True
NP_001180795.1,H2A,canonical_H2A,9544,False
NP_001180843.1,H2A,H2A.B,9544,True
NP_001180847.1,H2B,H2B.W,9544,True
NP_001183143.1,H2A,H2A.W,4577,True
NP_001183439.1,H2A,H2A.W,4577,True
NP_001183510.1,H2A,H2A.W,4577,True
NP_001187110.1,H1,generic_H1,7998,False
NP_001190852.1,H2A,canonical_H2A,3702,True
NP_001192525.1,H2A,canonical_H2A,9913,True
NP_001233989.1,H2B,canonical_H2B,4081,False
NP_001243880.1,H1,TS_H1.6,9796,True
NP_001264267.1,H2A,macroH2A,9031,True
NP_001268409.1,H3,canonical_H3,9031,True
NP_001268459.1,H2A,H2A.B,10090,True
NP_001268460.1,H2A,H2A.B,10090,True
NP_001269296.1,H3,H3.5,34839,False
NP_001278724.1,H2A,H2A.W,4577,True
NP_001281214.1,H2A,H2A.W,4577,True
NP_001297973.1,H2A,canonical_H2A,8010,False
NP_001357256.1,H1,generic_H1,9606,False
NP_001800.1,H3,cenH3,9606,True
NP_002096.1,H2A,H2A.X,9606,True
NP_002097.1,H2A,H2A.Z,9606,True
NP_003484.1,H3,TS_H3.4,9606,True
NP_003520.1,H3,canonical_H3,9606,True
NP_003538.1,H4,canonical_H4,9606,True
NP_005309.1,H1,H1.0,9606,True
NP_005310.1,H1,generic_H1,9606,True
NP_005311.1,H1,generic_H1,9606,True
NP_005312.1,H1,generic_H1,9606,True
NP_005313.1,H1,generic_H1,9606,True
NP_005314.2,H1,TS_H1.6,9606,True
NP_005316.1,H1,generic_H1,9606,True
NP_006017.1,H1,H1.10,9606,True
NP_009552.1,H2A,H2A.X,559292,True
NP_009553.1,H2B,canonical_H2B,559292,True
NP_009563.1,H4,canonical_H4,559292,True
NP_009564.1,H3,H3.3,559292,True
NP_010510.3,H2B,canonical_H2B,559292,True
NP_010511.3,H2A,H2A.X,559292,True
NP_012875.2,H3,cenH3,559292,True
NP_014631.1,H2A,H2A.Z,559292,True
NP_015198.1,H1,scH1,559292,True
NP_031707.1,H3,cenH3,10090,True
NP_032223.2,H1,H1.0,10090,True
NP_032236.1,H3,H3.3,10090,True
NP_034507.2,H1,TS_H1.6,10090,True
NP_034566.1,H2A,H2A.X,10090,True
NP_036406.1,H2A,H2A.P,9606,True
NP_036544.1,H2A,H2A.Z,9606,True
NP_036710.1,H1,H1.0,10116,True
NP_036711.1,H1,TS_H1.6,10116,True
NP_056601.1,H1,generic_H1,10090,True
NP_061119.1,H2A,macroH2A,9606,True
NP_061262.1,H1,TS_H1.9,10090,True
NP_066390.1,H2A,canonical_H2A,9606,True
NP_066402.2,H2B,canonical_H2B,9606,True
NP_068612.2,H2A,canonical_H2A,10116,True
NP_072169.1,H2B,H2B.1,10116,True
NP_072173.1,H2B,canonical_H2B,10116,True
NP_080372.1,H2A,H2A.P,10090,True
NP_080903.1,H2A,H2A.L,10090,True
NP_081340.1,H2B,subH2B,10090,True
NP_081580.2,H1,TS_H1.7,10090,True
NP_083864.1,H2A,H2A.L,10090,True
NP_085112.1,H1,generic_H1,10090,True
NP_172161.1,H1,generic_H1,3702,True
NP_172363.1,H2A,H2A.X,3702,True
NP_175517.1,H2A,canonical_H2A,3702,True
NP_175683.1,H2A,H2A.Z,3702,True
NP_175868.1,H2A,H2A.X,3702,True
NP_180441.1,H4,canonical_H4,3702,True
NP_181415.1,H2A,H2A.Z,3702,True
NP_188703.1,H2A,canonical_H2A,3702,True
NP_189372.1,H3,canonical_H3,3702,True
NP_191019.1,H2A,H2A.Z,3702,True
NP_193093.1,H2A,H2A.Z,3702,True
NP_195713.1,H3,H3.3,3702,True
