accession,hmm_model,score,used_for_classification
XP_678689.1,canonical_H2B,192.0,False
XP_001349046.1,canonical_H2B,191.6,False
XP_823266.1,canonical_H2B,165.0,True
XP_548517.2,canonical_H2B,140.1,False
XP_002925981.1,canonical_H2B,127.1,False
XP_002720211.1,canonical_H2B,124.8,False
XP_001366286.1,canonical_H2B,115.4,False
NP_001180847.1,canonical_H2B,108.9,False
Q7Z2G1.2,canonical_H2B,108.4,False
DAA13058.1,canonical_H2B,106.9,False
XP_003134084.1,canonical_H2B,106.2,False
NP_991343.1,canonical_H2B,104.2,False
XP_002921383.1,canonical_H2B,102.1,False
XP_003515979.1,canonical_H2B,100.0,False
XP_003407998.1,canonical_H2B,96.0,False
XP_003461969.1,canonical_H2B,95.8,False
XP_004885290.1,canonical_H2B,95.6,False
XP_001504072.1,canonical_H2B,93.3,False
NP_081340.1,canonical_H2B,92.5,False
XP_001095287.1,canonical_H2B,63.3,False
XP_956003.1,canonical_H2B,12.0,False
XP_006969783.1,canonical_H2B,12.0,False
NOGI_4,canonical_H2B,10.9,False
XP_003134084.1,subH2B,226.2,True
XP_002921383.1,subH2B,226.1,True
XP_003407998.1,subH2B,223.6,True
NP_991343.1,subH2B,222.6,True
XP_001504072.1,subH2B,221.0,True
XP_004885290.1,subH2B,218.5,True
XP_003515979.1,subH2B,210.7,True
XP_003461969.1,subH2B,209.9,True
XP_001095287.1,subH2B,205.4,True
NP_081340.1,subH2B,205.3,True
XP_001366286.1,subH2B,177.7,True
NP_001073188.1,subH2B,120.2,False
XP_007485418.1,subH2B,119.9,False
XP_005610255.1,subH2B,119.6,False
NP_783595.1,subH2B,119.4,False
NP_001032546.1,subH2B,119.2,False
XP_013006892.1,subH2B,119.2,False
XP_012928647.1,subH2B,119.2,False
XP_011741102.1,subH2B,119.2,False
XP_008246696.1,subH2B,119.2,False
XP_005665716.1,subH2B,119.2,False
XP_005640164.1,subH2B,119.2,False
XP_005640164.1,subH2B,119.2,False
XP_011216221.1,subH2B,118.9,False
NP_066402.2,subH2B,118.5,False
XP_003422331.1,subH2B,118.5,False
XP_007634673.1,subH2B,118.1,False
NP_783594.1,subH2B,117.4,False
NP_072169.1,subH2B,117.3,False
NP_724342.1,subH2B,115.4,False
NP_001086753.1,subH2B,115.0,False
NP_733759.1,subH2B,113.4,False
NP_505464.1,subH2B,111.9,False
NP_072173.1,subH2B,109.3,False
Q27749.3,subH2B,104.1,False
P02291.2,subH2B,103.0,False
XP_001349046.1,subH2B,102.9,False
XP_678689.1,subH2B,102.9,False
NP_999706.1,subH2B,101.9,False
NP_010510.3,subH2B,101.9,False
NP_009553.1,subH2B,101.6,False
Q9LQQ4.3,subH2B,100.6,False
XP_002369740.1,subH2B,100.5,False
XP_002369740.1,subH2B,100.5,False
Q9LZ45.3,subH2B,100.2,False
AAA30025.1,subH2B,99.9,False
Q27750.3,subH2B,99.8,False
NP_999721.1,subH2B,99.0,False
Q9FFC0.3,subH2B,98.4,False
Q9LZT0.3,subH2B,98.4,False
NP_999710.2,subH2B,98.1,False
XP_823266.1,subH2B,84.9,False
XP_002720211.1,subH2B,74.5,False
XP_548517.2,subH2B,72.7,False
DAA13058.1,subH2B,66.3,False
Q7Z2G1.2,subH2B,64.1,False
XP_002925981.1,subH2B,62.3,False
NP_001180847.1,subH2B,60.4,False
XP_005641297.1,subH2B,16.4,False
NP_083864.1,subH2B,14.8,False
XP_002913536.1,subH2B,14.3,False
EHH30639.1,subH2B,12.3,False
XP_548517.2,H2B.W,288.2,True
Q7Z2G1.2,H2B.W,281.5,True
NP_001180847.1,H2B.W,280.6,True
DAA13058.1,H2B.W,256.1,True
XP_002925981.1,H2B.W,252.6,True
XP_002720211.1,H2B.W,221.4,True
NP_001086753.1,H2B.W,151.1,False
NP_783594.1,H2B.W,149.9,False
NP_072169.1,H2B.W,149.8,False
NP_001073188.1,H2B.W,149.7,False
XP_005640164.1,H2B.W,148.8,False
XP_005640164.1,H2B.W,148.8,False
NP_783595.1,H2B.W,147.6,False
NP_066402.2,H2B.W,147.4,False
XP_003422331.1,H2B.W,147.4,False
XP_007485418.1,H2B.W,147.4,False
XP_005610255.1,H2B.W,147.3,False
NP_724342.1,H2B.W,147.3,False
XP_007634673.1,H2B.W,146.7,False
NP_001032546.1,H2B.W,146.6,False
XP_013006892.1,H2B.W,146.6,False
XP_012928647.1,H2B.W,146.6,False
XP_011741102.1,H2B.W,146.6,False
XP_008246696.1,H2B.W,146.6,False
XP_005665716.1,H2B.W,146.4,False
XP_011216221.1,H2B.W,145.8,False
XP_002369740.1,H2B.W,143.3,False
XP_002369740.1,H2B.W,143.3,False
NP_505464.1,H2B.W,141.8,False
NP_733759.1,H2B.W,141.8,False
Q27749.3,H2B.W,137.1,False
Q9FFC0.3,H2B.W,136.5,False
Q27750.3,H2B.W,136.0,False
NP_999706.1,H2B.W,135.8,False
P02291.2,H2B.W,135.3,False
NP_072173.1,H2B.W,134.2,False
AAA30025.1,H2B.W,134.2,False
Q9LQQ4.3,H2B.W,133.5,False
XP_001349046.1,H2B.W,133.3,False
XP_678689.1,H2B.W,133.2,False
NP_999721.1,H2B.W,132.7,False
NP_010510.3,H2B.W,128.2,False
Q9LZT0.3,H2B.W,128.0,False
NP_009553.1,H2B.W,127.6,False
Q9LZ45.3,H2B.W,126.0,False
NP_999710.2,H2B.W,123.1,False
XP_823266.1,H2B.W,96.8,False
XP_002921383.1,H2B.W,83.0,False
XP_003515979.1,H2B.W,81.9,False
XP_001366286.1,H2B.W,80.8,False
XP_003461969.1,H2B.W,79.8,False
NP_991343.1,H2B.W,74.7,False
NP_081340.1,H2B.W,74.8,False
XP_004885290.1,H2B.W,72.7,False
XP_003134084.1,H2B.W,72.3,False
XP_001504072.1,H2B.W,67.3,False
