accession,type,variant_group,variant,Histone variant,Clustered (canonical) isoform,ncbi_gene_id,hgnc_gene_name,Ensembl gene ID,Transcript stable ID,RefSeq mRNA ID,RefSeq peptide ID,Protein length,taxonomy_id,organism,phylum,class,taxonomy_group,info,references
NP_066390,H2A,cH2A,cH2A.2_(Homo_sapiens),clustered H2A,isoform_2,3012,H2AC8,ENSG00000277075,ENST00000303910,NM_021052,NP_066390,130,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
,H2A,,,,,387323,H2AC9P,ENSG00000218281,,,,,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,
,H2A,,,,,8333,H2AC10P,ENSG00000218690,,,,,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,
NP_066408,H2A,cH2A,cH2A.5_(Homo_sapiens),clustered H2A,isoform_5,8969,H2AC11,ENSG00000196787,ENST00000359193,NM_021064,NP_066408,130,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
NP_542163,H2A,cH2A,cH2A.6_(Homo_sapiens),clustered H2A,isoform_6,85235,H2AC12,ENSG00000274997,ENST00000377459,NM_080596,NP_542163,128,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
NP_003500,H2A,cH2A,cH2A.5_(Homo_sapiens),clustered H2A,isoform_5,8329,H2AC13,ENSG00000196747,ENST00000358739,NM_003509,NP_003500,130,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
NP_066544,H2A,cH2A,cH2A.7_(Homo_sapiens),clustered H2A,isoform_7,8331,H2AC14,ENSG00000276368,ENST00000333151,NM_021066,NP_066544,128,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
NP_003501,H2A,cH2A,cH2A.5_(Homo_sapiens),clustered H2A,isoform_5,8330,H2AC15,ENSG00000275221,ENST00000618958,NM_003510,NP_003501,130,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
NP_003502,H2A,cH2A,cH2A.5_(Homo_sapiens),clustered H2A,isoform_5,8332,H2AC16,ENSG00000276903,ENST00000613174,NM_003511,NP_003502,130,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
NP_003505,H2A,cH2A,cH2A.5_(Homo_sapiens),clustered H2A,isoform_5,8336,H2AC17,ENSG00000278677,ENST00000359611,NM_003514,NP_003505,130,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
NP_003507,H2A,cH2A,cH2A.8_(Homo_sapiens),clustered H2A,isoform_8,8337,H2AC18,ENSG00000203812,ENST00000369159,NM_003516,NP_003507,130,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
NP_001035807,H2A,cH2A,cH2A.8_(Homo_sapiens),clustered H2A,isoform_8,723790,H2AC19,ENSG00000272196,ENST00000607355,NM_001040874,NP_001035807,130,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
NP_003508,H2A,cH2A,cH2A.9_(Homo_sapiens),clustered H2A,isoform_9,8338,H2AC20,ENSG00000184260,ENST00000331380,NM_003517,NP_003508,129,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
NP_778235,H2A,cH2A,cH2A.10_(Homo_sapiens),clustered H2A,isoform_10,317772,H2AC21,ENSG00000184270,ENST00000331128,NM_175065,NP_778235,130,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
NP_254280,H2A,cH2A,cH2A.11_(Homo_sapiens),clustered H2A,isoform_11,92815,H2AC25,ENSG00000181218,ENST00000366695,NM_033445,NP_254280,130,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,?
,H2A,,H2A.Z.1,H2A.Z.1,,3015,H2AZ1,ENSG00000164032,ENST00000651623,,,127,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,25731851 33771851
NP_002097,H2A,H2A.Z,H2A.Z.1_(Homo_sapiens),H2A.Z.1,,3015,H2AZ1,ENSG00000164032,ENST00000296417,NM_002106,NP_002097,128,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,25731851 33771851
NP_036544,H2A,H2A.Z,H2A.Z.2.s1_(Homo_sapiens),H2A.Z.2,,94239,H2AZ2,ENSG00000105968,ENST00000308153,NM_012412,NP_036544,128,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,22467210 33771851 33073403
NP_619541,H2A,H2A.Z,H2A.Z.2.s2_(Homo_sapiens),H2A.Z.2,,94239,H2AZ2,ENSG00000105968,ENST00000222690,NM_138635,NP_619541,114,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,22467210 33771851 33073403
NP_958844,H2A,H2A.Z,H2A.Z.2.s1_(Homo_sapiens),H2A.Z.2,,94239,H2AZ2,ENSG00000105968,ENST00000350771,NM_201436,NP_958844,102,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,22467210 33771851 33073403
NP_958924,H2A,H2A.Z,H2A.Z.2_(Homo_sapiens),H2A.Z.2,,94239,H2AZ2,ENSG00000105968,ENST00000381124,NM_201516,NP_958924,66,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,22467210 33771851 33073403
NP_958925,H2A,H2A.Z,H2A.Z.2_(Homo_sapiens),H2A.Z.2,,94239,H2AZ2,ENSG00000105968,ENST00000349299,NM_201517,NP_958925,90,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,22467210 33771851 33073403
NP_613075,H2A,macroH2A,macroH2A.1_(Homo_sapiens),macroH2A.1,,9555,MACROH2A1,ENSG00000113648,ENST00000312469,NM_138609,NP_613075,369,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,9138085 20543561 31015383
NP_613258,H2A,macroH2A,macroH2A.1_(Homo_sapiens),macroH2A.1,,9555,MACROH2A1,ENSG00000113648,ENST00000511689,NM_138610,NP_613258,372,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,9138085 20543561 31015383
NP_001035248,H2A,macroH2A,macroH2A.1_(Homo_sapiens),macroH2A.1,,9555,MACROH2A1,ENSG00000113648,ENST00000304332,NM_001040158,NP_001035248,371,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,9138085 20543561 31015383
NP_061119,H2A,macroH2A,macroH2A.2_(Homo_sapiens),macroH2A.2,,55506,MACROH2A2,ENSG00000099284,ENST00000373255,NM_018649,NP_061119,372,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,31015383
NP_002096,H2A,H2A.X,H2A.X_(Homo_sapiens),H2A.X,,3014,H2AX,ENSG00000188486,ENST00000530167,NM_002105,NP_002096,143,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851 33441544 33771851
NP_808760,H2A,H2A.J,H2A.J_(Homo_sapiens),H2A.J,,55766,H2AJ,ENSG00000246705,ENST00000544848,NM_177925,NP_808760,129,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,25731851 33266246 28489069
NP_001017990,H2A,short_H2A,H2A.B.1_(Homo_sapiens),H2A.B,,474382,H2AB1,ENSG00000274183,ENST00000620016,NM_001017990,NP_001017990,115,9606,Homo sapiens,Chordata,Mammalia,Mammalia,"Please, note that some papers use alternative naming were H2AB1 gene is H2A.B.2 and the other two are H2A.B.1",29549088 35099534
NP_001017991,H2A,short_H2A,H2A.B.2_(Homo_sapiens),H2A.B,,474381,H2AB2,ENSG00000277858,ENST00000354514,NM_001017991,NP_001017991,115,9606,Homo sapiens,Chordata,Mammalia,Mammalia,"Please, note that some papers use alternative naming were H2AB1 gene is H2A.B.2 and the other two are H2A.B.1",29549088 35099534
NP_542451,H2A,short_H2A,H2A.B.2_(Homo_sapiens),H2A.B,,83740,H2AB3,ENSG00000277745,ENST00000615853,NM_080720,NP_542451,115,9606,Homo sapiens,Chordata,Mammalia,Mammalia,"Please, note that some papers use alternative naming were H2AB1 gene is H2A.B.2 and the other two are H2A.B.1",29549088 35099534
NP_036406,H2A,short_H2A,H2A.P_(Homo_sapiens),H2A.P,,25763,H2AP,ENSG00000187516,ENST00000341016,NM_012274,NP_036406,117,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,29549088 35099534
,H2A,,,,,115482715,H2AQ1P,ENSG00000285989,,,,,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,
HISTDB_H2A_L_0,H2A,short_H2A,H2A.L_(Homo_sapiens),H2A.L,,115482714,H2AL1Q,ENSG00000249467,ENST00000508758,NG_066059,,199,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,29549088 35099534
,H2A,,,,,115482687,H2AL1MP,ENSG00000285944,,,,,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,
HISTDB_H2A_L_1,H2A,short_H2A,H2A.L_(Homo_sapiens),H2A.L,,115482686,H2AL3,ENSG00000229674,ENST00000448797,NM_001395555,,148,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,29549088 35099534
NP_733759,H2B,cH2B,cH2B_(Homo_sapiens),clustered H2B,isoform_1,255626,H2BC1,ENSG00000146047,ENST00000274764,NM_170610,NP_733759,127,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12213818 23884607 17261847
,H2B,,,,,100288742,H2BC2P,ENSG00000178762,,,,,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,
NP_066406,H2B,cH2B,cH2B_(Homo_sapiens),clustered H2B,isoform_2,3018,H2BC3,ENSG00000276410,ENST00000615966,NM_021062,NP_066406,126,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
NP_003517,H2B,cH2B,cH2B_(Homo_sapiens),clustered H2B,isoform_3,8347,H2BC4,ENSG00000180596,ENST00000396984,NM_003526,NP_003517,126,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
NP_066407,H2B,cH2B,cH2B_(Homo_sapiens),clustered H2B,isoform_4,3017,H2BC5,ENSG00000158373,ENST00000377777,NM_021063,NP_066407,126,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
NP_003514,H2B,cH2B,cH2B_(Homo_sapiens),clustered H2B,isoform_3,8344,H2BC6,ENSG00000274290,ENST00000614097,NM_003523,NP_003514,126,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
NP_003513,H2B,cH2B,cH2B_(Homo_sapiens),clustered H2B,isoform_3,8343,H2BC7,ENSG00000277224,ENST00000356530,NM_003522,NP_003513,126,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
NP_003516,H2B,cH2B,cH2B_(Homo_sapiens),clustered H2B,isoform_3,8339,H2BC8,ENSG00000278588,ENST00000377733,NM_003525,NP_003516,126,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
NP_003515,H2B,cH2B,cH2B_(Homo_sapiens),clustered H2B,isoform_5,8345,H2BC9,ENSG00000275713,ENST00000619466,NM_003524,NP_003515,126,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
NP_003509,H2B,cH2B,cH2B_(Homo_sapiens),clustered H2B,isoform_3,8346,H2BC10,ENSG00000273802,ENST00000541790,NM_003518,NP_003509,126,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
NP_066402,H2B,cH2B,cH2B_(Homo_sapiens),clustered H2B,isoform_6,8970,H2BC11,ENSG00000124635,ENST00000339812,NM_021058,NP_066402,126,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
NP_001299582,H2B,cH2B,cH2B_(Homo_sapiens),clustered H2B,isoform_7,85236,H2BC12,ENSG00000197903,ENST00000356950,NM_080593,NP_001299582,126,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
NP_003510,H2B,cH2B,cH2B_(Homo_sapiens),clustered H2B,isoform_8,8340,H2BC13,ENSG00000185130,ENST00000377401,NM_003519,NP_003510,126,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
NP_003512,H2B,cH2B,cH2B_(Homo_sapiens),clustered H2B,isoform_9,8342,H2BC14,ENSG00000273703,ENST00000621112,NM_003521,NP_003512,126,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
NP_003511,H2B,cH2B,cH2B_(Homo_sapiens),clustered H2B,isoform_10,8341,H2BC15,ENSG00000233822,ENST00000612898,NM_003520,NP_003511,126,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
,H2B,,,,,10340,H2BC16P,ENSG00000217646,ENST00000402707,,,,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,
NP_003518,H2B,cH2B,cH2B_(Homo_sapiens),clustered H2B,isoform_11,8348,H2BC17,ENSG00000274641,ENST00000616182,NM_003527,NP_003518,126,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
NP_001019770,H2B,cH2B,cH2B_(Homo_sapiens),clustered H2B,isoform_12,440689,H2BC18,ENSG00000203814,ENST00000369167,NM_001024599,NP_001019770,126,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
NP_001154806,H2B,cH2B,cH2B_(Homo_sapiens),clustered H2B,isoform_13,440689,H2BC18,ENSG00000203814,ENST00000545683,NM_001161334,NP_001154806,134,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
,H2B,,,,,337874,H2BC19P,ENSG00000220323,ENST00000608318,,,,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,
,H2B,,,,,337873,H2BC20P,ENSG00000261716,ENST00000564237,,,,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,
NP_003519,H2B,cH2B,cH2B_(Homo_sapiens),clustered H2B,isoform_14,8349,H2BC21,ENSG00000184678,ENST00000369155,NM_003528,NP_003519,126,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,23240083 12408966 25731851
NP_778225,H2B,cH2B,cH2B_(Homo_sapiens),clustered H2B,isoform_15,128312,H2BC26,ENSG00000196890,ENST00000620438,NM_175055,NP_778225,126,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966
,H2B,,,,,337872,H2BC27P,ENSG00000181201,ENST00000436555,,,,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,
NP_001356054,H2B,H2B.K,H2B.K_(Homo_sapiens),H2B.K,,114483833,H2BK1,ENSG00000285480,ENST00000644661,NM_001369125,NP_001356054,122,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,31537640 35099534
,H2B,,,,,115482689,H2BL1P,ENSG00000223497,,,,,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,
NP_001002916,H2B,H2B.W,H2B.W_(Homo_sapiens),H2B.W,,158983,H2BW1,ENSG00000123569,ENST00000217926,NM_001002916,NP_001002916,147,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,15475252 16449661 25731851
NP_001375393,H2B,H2B.W,H2B.W_(Homo_sapiens),H2B.W,,286436,H2BW2,ENSG00000101812,ENST00000675318,NM_001388464,NP_001375393,148,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,15475252 16449661 25731851
,H2B,,,,,100101478,H2BW3P,ENSG00000235946,,,,,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,
,H2B,,,,,767811,H2BW4P,,,,,,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,
NP_001388269,H2B,H2B.N,H2B.N_(Homo_sapiens),H2B.N,,124188214,H2BN1,,,NM_001401340,NP_001388269,118,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,35099534
NP_059141,H2B,cH2B(?),cH2B(?)_(Homo_sapiens),clustered H2B(?),,54145,H2BC12L,ENSG00000234289,ENST00000599962,NM_017445,NP_059141,126,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,?
NP_003520,H3,cH3,cH3.1_(Homo_sapiens),clustered H3.1,isoform_1,8350,H3C1,ENSG00000275714,ENST00000613854,NM_003529,NP_003520,136,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966
NP_003528,H3,cH3,cH3.1_(Homo_sapiens),clustered H3.1,isoform_1,8358,H3C2,ENSG00000286522,ENST00000621411,NM_003537,NP_003528,136,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966
NP_003522,H3,cH3,cH3.1_(Homo_sapiens),clustered H3.1,isoform_1,8352,H3C3,ENSG00000287080,ENST00000612966,NM_003531,NP_003522,136,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966
NP_003521,H3,cH3,cH3.1_(Homo_sapiens),clustered H3.1,isoform_1,8351,H3C4,ENSG00000197409,ENST00000356476,NM_003530,NP_003521,136,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966
,H3,,,,,115482688,H3C5P,ENSG00000277720,,,,,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,
NP_003523,H3,cH3,cH3.1_(Homo_sapiens),clustered H3.1,isoform_1,8353,H3C6,ENSG00000274750,ENST00000614911,NM_003532,NP_003523,136,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966
NP_066298,H3,cH3,cH3.1_(Homo_sapiens),clustered H3.1,isoform_1,8968,H3C7,ENSG00000277775,ENST00000618052,NM_021018,NP_066298,136,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966
NP_003525,H3,cH3,cH3.1_(Homo_sapiens),clustered H3.1,isoform_1,8355,H3C8,ENSG00000273983,ENST00000614378,NM_003534,NP_003525,136,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966
,H3,,,,,100289545,H3C9P,ENSG00000220875,,,,,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,
NP_003527,H3,cH3,cH3.1_(Homo_sapiens),clustered H3.1,isoform_1,8357,H3C10,ENSG00000278828,ENST00000369163,NM_003536,NP_003527,136,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966
NP_003524,H3,cH3,cH3.1_(Homo_sapiens),clustered H3.1,isoform_1,8354,H3C11,ENSG00000275379,ENST00000616365,NM_003533,NP_003524,136,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966
NP_003526,H3,cH3,cH3.1_(Homo_sapiens),clustered H3.1,isoform_1,8356,H3C12,ENSG00000197153,ENST00000359303,NM_003535,NP_003526,136,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966
NP_001116847,H3,cH3,cH3.2_(Homo_sapiens),clustered H3.2,isoform_1,653604,H3C13,ENSG00000183598,ENST00000331491,NM_001123375,NP_001116847,136,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966
NP_066403,H3,cH3,cH3.2_(Homo_sapiens),clustered H3.2,isoform_1,126961,H3C14,ENSG00000203811,ENST00000369158,NM_021059,NP_066403,136,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966
NP_001005464,H3,cH3,cH3.2_(Homo_sapiens),clustered H3.2,isoform_1,333932,H3C15,ENSG00000203852,ENST00000403683,NM_001005464,NP_001005464,136,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966
NP_002098,H3,H3.3,H3.3_(Homo_sapiens),H3.3,,3020,H3-3A,ENSG00000163041,ENST00000366815,NM_002107,NP_002098,136,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,19412883
NP_005315,H3,H3.3,H3.3_(Homo_sapiens),H3.3,,3021,H3-3B,ENSG00000132475,ENST00000254810,NM_005324,NP_005315,136,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,19412883
NP_003484,H3,H3.4,H3.4_(Homo_sapiens),H3.4,,8290,H3-4,ENSG00000168148,ENST00000366696,NM_003493,NP_003484,136,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,8986613
NP_001013721,H3,H3.5,H3.5_(Homo_sapiens),H3.5,,440093,H3-5,ENSG00000188375,ENST00000340398,NM_001013699,NP_001013721,135,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,21274551
,H3,,H3.6(?),H3.6(?),,644914,H3P16,ENSG00000178458,,,,,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,21782046 28374988
NP_001342338,H3,H3.7(?),H3.7(?)_(Homo_sapiens),H3.7(?),,440686,H3-7,ENSG00000273213,ENST00000609879,NM_001355409,NP_001342338,136,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966
,H3,,H3.8(?),H3.8(?),,347376,H3P44,ENSG00000226881,,,,,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,21782046 28374988
NP_001342187,H3,H3.Y,H3.Y.1_(Homo_sapiens),H3.Y.1,,391769,H3Y1,ENSG00000269466,ENST00000598383,NM_001355258,NP_001342187,136,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,20819935
NP_001358848,H3,H3.Y,H3.Y.2_(Homo_sapiens),H3.Y.2,,340096,H3Y2,ENSG00000268799,ENST00000600799,NM_001371919,NP_001358848,147,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,20819935
NP_001800,H3,cenH3,cenH3_(Homo_sapiens),cenH3,,1058,CENPA,ENSG00000115163,ENST00000335756,NM_001809,NP_001800,140,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,23324462
NP_001035891,H3,cenH3,cenH3_(Homo_sapiens),cenH3,,1058,CENPA,ENSG00000115163,ENST00000233505,NM_001042426,NP_001035891,114,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,23324462
NP_003529,H4,cH4,cH4_(Homo_sapiens),clustered H4,isoform_1,8359,H4C1,ENSG00000278637,ENST00000617569,NM_003538,NP_003529,103,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966
NP_003535,H4,cH4,cH4_(Homo_sapiens),clustered H4,isoform_1,8366,H4C2,ENSG00000278705,ENST00000377745,NM_003544,NP_003535,103,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966
NP_003533,H4,cH4,cH4_(Homo_sapiens),clustered H4,isoform_1,8364,H4C3,ENSG00000197061,ENST00000377803,NM_003542,NP_003533,103,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966
NP_003530,H4,cH4,cH4_(Homo_sapiens),clustered H4,isoform_1,8360,H4C4,ENSG00000277157,ENST00000614247,NM_003539,NP_003530,103,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966
NP_003536,H4,cH4,cH4_(Homo_sapiens),clustered H4,isoform_1,8367,H4C5,ENSG00000276966,ENST00000615164,NM_003545,NP_003536,103,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966
NP_003531,H4,cH4,cH4_(Homo_sapiens),clustered H4,isoform_1,8361,H4C6,ENSG00000274618,ENST00000244537,NM_003540,NP_003531,103,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966
NP_003538,H4,cH4(?),cH4(?)_(Homo_sapiens),clustered H4(?),isoform_2,8369,H4C7,ENSG00000275663,ENST00000611444,NM_003547,NP_003538,98,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966
NP_003534,H4,cH4,cH4_(Homo_sapiens),clustered H4,isoform_1,8365,H4C8,ENSG00000158406,ENST00000377727,NM_003543,NP_003534,103,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966
NP_003486,H4,cH4,cH4_(Homo_sapiens),clustered H4,isoform_1,8294,H4C9,ENSG00000276180,ENST00000615353,NM_003495,NP_003486,103,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966
,H4,,,,,10337,H4C10P,ENSG00000217862,,,,,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,
NP_068803,H4,cH4,cH4_(Homo_sapiens),clustered H4,isoform_1,8363,H4C11,ENSG00000197238,ENST00000355057,NM_021968,NP_068803,103,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966
